id,text,sentiment,aspect
4076,PRODUKT JE DOKONALÝ PRE MOJE POTREBY.,positive,am_thuc
4159,Chúng tôi đã thử nhiều loại bột khác nhau và đây chắc chắn là loại tốt nhất đối với chúng tôi.,positive,am_thuc
4160,Nó vẫn có vẻ tươi mới sau 3 ngày nấu.,positive,am_thuc
4161,Thương hiệu và hương vị này chắc chắn là tốt nhất.,positive,am_thuc
4162,"Trong quá trình hoạt động mạnh, tôi thích cách nó lắng xuống dạ dày trước khi thi đấu và cung cấp năng lượng cho tôi.",positive,am_thuc
4163,"Đôi khi tôi làm thế để xem mình có thể chịu đựng được bao lâu, nhưng việc di chuyển nó xung quanh sẽ giải quyết ngay lập tức mọi 'vết bỏng' hoặc bất kỳ điều gì khác và cũng khá thú vị khi lan tỏa qua miệng.",positive,am_thuc
4164,Sản phẩm mới sản phẩm cho ngôi nhà của chúng tôi.,positive,am_thuc
4165,Đây là một trong những món ăn yêu thích nhất của tôi món ăn và là ký ức sâu sắc nhất của tôi về Brazil.,positive,am_thuc
4166,"Chúng tôi thích loại trà này trà đá, có hương vị cam thảo dễ chịu.",positive,am_thuc
4167,"Món này thực sự tuyệt vời, hoàn toàn tuyệt vời trong bất kỳ công thức nào cần có hương vị hạnh nhân đậm đà.",positive,am_thuc
4168,Quả thực là tuyệt vời.,positive,am_thuc
4169,Loại này cà phê pha ra loại cà phê rang vừa phải với hương hoa và quả mọng kỳ lạ.,positive,am_thuc
4170,Rất tốt !,positive,am_thuc
4171,Nó có vị mặn và giòn rất ngon.,positive,am_thuc
4172,Rất khuyến khích!,positive,noi_chung
4173,Chó nhà tôi phát cuồng vì những thứ này que!,positive,am_thuc
4174,"Tôi thích Sữa đậu nành Silk Very Vanilla trong các hộp lớn, và tôi rất vui khi duyệt qua Amazon và tìm thấy những hộp đựng riêng lẻ 8 ounce này",positive,am_thuc
4175,"Tôi đã viết amazon và họ đã hoàn lại tiền cho tôi nhanh chóng, vì vậy dịch vụ khách hàng của họ rất tuyệt vời. Kể từ đó, chúng tôi đã mở thêm một số túi nữa và chúng có vẻ không bị ôi thiu, nhưng tôi vẫn không tin rằng chúng có vị tươi như những túi mua ở cửa hàng tạp hóa.",positive,am_thuc
4176,Thậm chí có thể ngon hơn một chút so với bánh quy thông thường.,positive,am_thuc
4177,Đây là loại hỗn hợp hạt ưa thích nhất của tôi.,positive,am_thuc
4178,Tuyệt vời sản phẩm.,positive,am_thuc
4179,Tôi bắt đầu mỗi ngày bằng một tách sô cô la nóng.,positive,am_thuc
4180,"Cả ba đều thích loại thực phẩm này, nó rất bổ dưỡng và không có phụ phẩm từ động vật.",positive,am_thuc
4181,Thật là kinh khủng.,negative,am_thuc
4182,"cà phê thì ngon, nhưng nó không có hương vị mà tôi mong đợi.",positive,am_thuc
4182,"cà phê thì ngon, nhưng nó không có hương vị mà tôi mong đợi.",neutral,am_thuc
4183,Thích sự đặc quánh của nước thay vì sự đặc quánh của dầu.,positive,am_thuc
4184,Chúng là sự kết hợp hoàn hảo của cả hai thế giới và có thể để được lâu với nhiều hương vị!,positive,am_thuc
4185,Tôi thậm chí không bao giờ đạt được số lượng đó vì tôi thường đạt được mục tiêu của mình sau khoảng 20 phút.,positive,am_thuc
4186,Các hương vị khác cũng ngon không kém!),positive,am_thuc
4187,Nó ngọt một cách dễ chịu chứ không quá ngọt.,positive,am_thuc
4188,Đây cũng là loại muối tuyệt vời để ướp thịt!,positive,am_thuc
4189,Tôi pha cà phê theo cách thông thường nhưng nó không đủ đậm.,positive,am_thuc
4190,Tôi không thích loại cà phê này Keurig vì chất lượng cà phê pha ra khá nhạt.,negative,am_thuc
4191,"Giả định thông thường là loại A tốt hơn loại B nhưng không giống như trứng hoặc thịt, loại này đề cập đến thời điểm thu hoạch xi-rô, loại B có hương vị đậm đà hơn.",positive,am_thuc
4192,Chúng được giao đến nhanh chóng trong tình trạng hoàn hảo và tôi thực sự thích từng miếng!,positive,am_thuc
