id,text,sentiment,aspect,language,split
0,Bare helt himmelsk.,positive,food general,de,train
1,Min kat elsker Fancy Feast kattefoder.,positive,food general,de,train
2,Absolut grimt!,negative,food general,en,train
3,Alt for meget salt.,negative,food quality,en,train
4,"Er en ""suppet"" ost & nudler.",negative,food quality,es,train
5,Jeg tog fejl.,negative,food general,en,train
6,Smager fantastisk!,positive,food quality,en,train
7,ELSKER DET! ! !,positive,food general,en,train
8,Kamut og quinoa combo var meget interessant.,positive,food general,en,train
9,Elsker dem.,positive,food general,de,train
10,Mit barn ELSKER disse! !,positive,food general,de,train
11,Bagefter smager kaffen ok.,neutral,food quality,de,train
12,DET PRODUKT ER PERFEKT TIL MINE BEHOV .,positive,food general,fr,train
13,Skuffet.,negative,food general,de,train
14,Ingen bismag eftersmag.,positive,food quality,de,train
15,Nyd John S.,positive,food general,en,train
16,Marmite endnu bedre!,positive,food quality,de,train
17,Grade A Medium Amber fra Hidden Springs Maple Vermont er simpelthen fantastisk.,positive,food quality,de,train
18,Wir haben andere Pulver probiert und dieses ist für uns sicherlich das Beste.,positive,food general,de,train
19,Auch nach 3 Tagen sieht es noch aus wie frisch gekocht.,positive,food general,de,train
20,Diese Marke und dieser Geschmack waren bei weitem die besten.,positive,food quality,de,train
21,"Bei körperlicher Anstrengung gefällt mir, wie es sich vor Spielen in meinem Magen ausbreitet und welche Energie es mir gibt.",positive,food general,de,train
22,"Ich mache das manchmal, um zu sehen, wie lange ich durchhalte, aber durch Hin- und Herbewegen löst es jedes „Brennen“ oder ähnliches sofort und es verteilt sich sehr angenehm im Mund.",positive,food general,de,train
23,Neu Produkt für unser Haus.,positive,food general,de,train
24,Das ist eines meiner absoluten Lieblingsgerichte Gerichte und meine bleibende Erinnerung an Brasilien.,positive,food general,de,train
25,"Wir lieben diesen Tee eisgekühlten, schönen Lakritzgeschmack.",positive,food general,de,train
25,"Wir lieben diesen Tee eisgekühlten, schönen Lakritzgeschmack.",positive,food quality,de,train
26,"Das ist einfach großartig, absolut himmlisch in jedem Rezept, das einen starken Mandelgeschmack erfordert.",positive,food general,de,train
26,"Das ist einfach großartig, absolut himmlisch in jedem Rezept, das einen starken Mandelgeschmack erfordert.",positive,food quality,de,train
27,Einfach himmlisch.,positive,food general,de,train
28,Dieser Kaffee ergibt eine schöne mittlere Röstung mit exotischen Blumen- und Beerennoten.,positive,food quality,de,train
29,Sehr gut !,positive,food general,de,train
30,Es ist herrlich salzig und knusprig.,positive,food quality,de,train
31,Sehr empfehlenswert!,positive,food recommendation,de,train
32,Mein Hund ist verrückt nach diesen Stöcken!,positive,food quality,de,train
33,"Ich liebe Silk Very Vanilla Soymilk in den großen Kartons, und ich war so glücklich, als ich durch Amazon stöberte und auf diese einzelnen 8-Unzen-Behälter stieß",positive,food general,de,train
34,"Ich habe geschrieben Amazon und sie haben mir umgehend das Geld zurückerstattet, ihr Kundenservice ist also ausgezeichnet. Wir haben seitdem weitere Tüten geöffnet und sie scheinen nicht mehr so abgestanden zu sein, aber ich glaube immer noch nicht, dass sie so frisch schmecken wie die aus dem Supermarkt.",positive,food general,de,train
34,"Ich habe geschrieben Amazon und sie haben mir umgehend das Geld zurückerstattet, ihr Kundenservice ist also ausgezeichnet. Wir haben seitdem weitere Tüten geöffnet und sie scheinen nicht mehr so abgestanden zu sein, aber ich glaube immer noch nicht, dass sie so frisch schmecken wie die aus dem Supermarkt.",positive,food quality,de,train
35,Vielleicht sogar ein bisschen besser als normale Brezeln.,positive,food general,de,train
36,Bei weitem mein liebstes Studentenfutter.,positive,food general,de,train
37,Großartig Produkt.,positive,food general,de,train
38,Ich beginne jeden Tag mit einer Tasse heißer Schokolade.,positive,food general,de,train
39,"Alle drei lieben dieses Futter, es ist sehr nahrhaft für sie und enthält keine tierischen Nebenprodukte.",positive,food general,de,train
39,"Alle drei lieben dieses Futter, es ist sehr nahrhaft für sie und enthält keine tierischen Nebenprodukte.",positive,food quality,de,train
40,Einfach schrecklich.,negative,food general,de,train
41,"Der Kaffee war gut, er hatte nur nicht den Geschmack, den ich erwartet hatte.",positive,food general,de,train
41,"Der Kaffee war gut, er hatte nur nicht den Geschmack, den ich erwartet hatte.",neutral,food quality,de,train
42,Ich mag das Wasser lieber als das klebrige Öl.,positive,food quality,de,train
43,"Sie vereinen das Beste aus beiden Welten, sind lange haltbar und haben viel Geschmack!",positive,food quality,de,train
44,"Ich komme allerdings nie auch nur annähernd an so viele heran, da ich meinen Fix normalerweise nach etwa 20 bekomme.",positive,food general,de,train
45,Die anderen Geschmacksrichtungen sind aber auch genauso gut !),positive,food quality,de,train
46,"Es ist angenehm, aber nicht zu süß.",positive,food quality,de,train
47,Es eignet sich auch hervorragend als Finishing-Salz für Fleisch!,positive,food general,de,train
48,"Ich habe meinen Kaffee wie gewohnt zubereitet, aber er war nicht stark genug.",positive,food general,de,train
49,"Ich bin kein Fan von Keurig-Kaffee, da das gebrühte Produkt zu schwach ist.",negative,food quality,de,train
