id,text,sentiment,aspect
2,Absolut grimt!,negative,food general
3,Alt for meget salt.,negative,food quality
5,Jeg tog fejl.,negative,food general
6,Smager fantastisk!,positive,food quality
7,ELSKER DET! ! !,positive,food general
8,Kamut og quinoa combo var meget interessant.,positive,food general
15,Nyd John S.,positive,food general
291,LIEBE ES !!! ! !,positive,food general
383,Ich liebe rosa Himalaya-Salz!,positive,food general
419,Das sind tolle Snacks.,positive,food general
452,Lecker !,positive,food quality
670,LECKER !,positive,food quality
812,Kaut sowieso alles andere im Haus an.,neutral,food general
819,We have tried other powders and this is certainly the best for us .,positive,food general
820,It still seems freshly cooked 3 days later .,positive,food general
821,This brand and flavor was by far the best .,positive,food quality
822,During strenuous activity I like the way it settles in my stomach before games and the energy it gave me .,positive,food general
823,"I do this sometimes to see how long I can last , but moving it around solves any ' burn ' or anything immediately and is quite pleasurable spreading through the mouth .",positive,food general
824,New product for our house .,positive,food general
825,"This is one of my favorite foods ever , and the lingering memory I have of Brazil .",positive,food general
826,"We love this tea iced , nice licorice flavor .",positive,food general
826,"We love this tea iced , nice licorice flavor .",positive,food quality
827,"This is simply superb , absolutely heavenly in whatever recipe that requires a strong almond flavor .",positive,food general
827,"This is simply superb , absolutely heavenly in whatever recipe that requires a strong almond flavor .",positive,food quality
828,Just absolutely heavenly .,positive,food general
829,This coffee brews up a nice medium roast with exotic floral and berry notes .,positive,food quality
830,Very good !,positive,food general
831,It is deliciously salty and crunchy .,positive,food quality
832,Highly Recommended !,positive,food recommendation
833,My dog is crazy for these sticks !,positive,food quality
834,"I love Silk Very Vanilla Soymilk in the large cartons , and I was so happy when I was browsing through Amazon and came across these individual 8 - ounce containers",positive,food general
835,"I wrote amazon and they did give me a prompt refund , so their customer service is excellent . we have since opened some more bags and they do not seem as stale , but I still do not believe they taste as fresh as the ones from grocery .",positive,food general
835,"I wrote amazon and they did give me a prompt refund , so their customer service is excellent . we have since opened some more bags and they do not seem as stale , but I still do not believe they taste as fresh as the ones from grocery .",positive,food quality
836,Maybe even a little better than regular pretzels .,positive,food general
837,"By far , my favorite trail mix .",positive,food general
838,Great product .,positive,food general
839,I start each day with a cup of hot chocolate .,positive,food general
840,"They all three love this food , and it is pretty nutritious for them , and no animal by - products .",positive,food general
840,"They all three love this food , and it is pretty nutritious for them , and no animal by - products .",positive,food quality
841,Absolutely horrible .,negative,food general
842,"The coffee was good , it just did not have the flavor I was expecting .",positive,food general
842,"The coffee was good , it just did not have the flavor I was expecting .",neutral,food quality
