id,text,sentiment,aspect,language,split
0,Bare helt himmelsk.,positive,am_thuc,de,train
1,Min kat elsker Fancy Feast kattefoder.,positive,am_thuc,de,train
2,Absolut grimt!,negative,am_thuc,en,train
3,Alt for meget salt.,negative,am_thuc,en,train
4,"Er en ""suppet"" ost & nudler.",negative,am_thuc,es,train
5,Jeg tog fejl.,negative,am_thuc,en,train
6,Smager fantastisk!,positive,am_thuc,en,train
7,ELSKER DET! ! !,positive,am_thuc,en,train
8,Kamut og quinoa combo var meget interessant.,positive,am_thuc,en,train
9,Elsker dem.,positive,am_thuc,de,train
10,Mit barn ELSKER disse! !,positive,am_thuc,de,train
11,Bagefter smager kaffen ok.,neutral,am_thuc,de,train
12,DET PRODUKT ER PERFEKT TIL MINE BEHOV .,positive,am_thuc,fr,train
13,Skuffet.,negative,am_thuc,de,train
14,Ingen bismag eftersmag.,positive,am_thuc,de,train
15,Nyd John S.,positive,am_thuc,en,train
16,Marmite endnu bedre!,positive,am_thuc,de,train
17,Grade A Medium Amber fra Hidden Springs Maple Vermont er simpelthen fantastisk.,positive,am_thuc,de,train
18,Wir haben andere Pulver probiert und dieses ist für uns sicherlich das Beste.,positive,am_thuc,de,train
19,Auch nach 3 Tagen sieht es noch aus wie frisch gekocht.,positive,am_thuc,de,train
20,Diese Marke und dieser Geschmack waren bei weitem die besten.,positive,am_thuc,de,train
21,"Bei körperlicher Anstrengung gefällt mir, wie es sich vor Spielen in meinem Magen ausbreitet und welche Energie es mir gibt.",positive,am_thuc,de,train
22,"Ich mache das manchmal, um zu sehen, wie lange ich durchhalte, aber durch Hin- und Herbewegen löst es jedes „Brennen“ oder ähnliches sofort und es verteilt sich sehr angenehm im Mund.",positive,am_thuc,de,train
23,Neu Produkt für unser Haus.,positive,am_thuc,de,train
24,Das ist eines meiner absoluten Lieblingsgerichte Gerichte und meine bleibende Erinnerung an Brasilien.,positive,am_thuc,de,train
25,"Wir lieben diesen Tee eisgekühlten, schönen Lakritzgeschmack.",positive,am_thuc,de,train
26,"Das ist einfach großartig, absolut himmlisch in jedem Rezept, das einen starken Mandelgeschmack erfordert.",positive,am_thuc,de,train
27,Einfach himmlisch.,positive,am_thuc,de,train
28,Dieser Kaffee ergibt eine schöne mittlere Röstung mit exotischen Blumen- und Beerennoten.,positive,am_thuc,de,train
29,Sehr gut !,positive,am_thuc,de,train
30,Es ist herrlich salzig und knusprig.,positive,am_thuc,de,train
31,Sehr empfehlenswert!,positive,noi_chung,de,train
32,Mein Hund ist verrückt nach diesen Stöcken!,positive,am_thuc,de,train
33,"Ich liebe Silk Very Vanilla Soymilk in den großen Kartons, und ich war so glücklich, als ich durch Amazon stöberte und auf diese einzelnen 8-Unzen-Behälter stieß",positive,am_thuc,de,train
34,"Ich habe geschrieben Amazon und sie haben mir umgehend das Geld zurückerstattet, ihr Kundenservice ist also ausgezeichnet. Wir haben seitdem weitere Tüten geöffnet und sie scheinen nicht mehr so abgestanden zu sein, aber ich glaube immer noch nicht, dass sie so frisch schmecken wie die aus dem Supermarkt.",positive,am_thuc,de,train
35,Vielleicht sogar ein bisschen besser als normale Brezeln.,positive,am_thuc,de,train
36,Bei weitem mein liebstes Studentenfutter.,positive,am_thuc,de,train
37,Großartig Produkt.,positive,am_thuc,de,train
38,Ich beginne jeden Tag mit einer Tasse heißer Schokolade.,positive,am_thuc,de,train
39,"Alle drei lieben dieses Futter, es ist sehr nahrhaft für sie und enthält keine tierischen Nebenprodukte.",positive,am_thuc,de,train
40,Einfach schrecklich.,negative,am_thuc,de,train
41,"Der Kaffee war gut, er hatte nur nicht den Geschmack, den ich erwartet hatte.",positive,am_thuc,de,train
41,"Der Kaffee war gut, er hatte nur nicht den Geschmack, den ich erwartet hatte.",neutral,am_thuc,de,train
42,Ich mag das Wasser lieber als das klebrige Öl.,positive,am_thuc,de,train
43,"Sie vereinen das Beste aus beiden Welten, sind lange haltbar und haben viel Geschmack!",positive,am_thuc,de,train
44,"Ich komme allerdings nie auch nur annähernd an so viele heran, da ich meinen Fix normalerweise nach etwa 20 bekomme.",positive,am_thuc,de,train
45,Die anderen Geschmacksrichtungen sind aber auch genauso gut !),positive,am_thuc,de,train
46,"Es ist angenehm, aber nicht zu süß.",positive,am_thuc,de,train
47,Es eignet sich auch hervorragend als Finishing-Salz für Fleisch!,positive,am_thuc,de,train
48,"Ich habe meinen Kaffee wie gewohnt zubereitet, aber er war nicht stark genug.",positive,am_thuc,de,train
49,"Ich bin kein Fan von Keurig-Kaffee, da das gebrühte Produkt zu schwach ist.",negative,am_thuc,de,train
50,"Normalerweise wird angenommen, dass Klasse A besser ist als Klasse B. Anders als bei Eiern oder Fleisch bezieht sich die Klasse jedoch auf den Zeitpunkt der Sirupernte, wobei Klasse B den intensiveren Geschmack aufweist.",positive,am_thuc,de,train
51,Sie kamen schnell und in perfektem Zustand an und ich habe wirklich jeden Bissen genossen!,positive,am_thuc,de,train
52,"Ich bin sicher, dass es eher 75 % Birne mit einer Prise Gemüse sind, aber es ist besser als nichts.",positive,am_thuc,de,train
53,"Ich liebe es, dass der Riegel weich und zäh war.",positive,am_thuc,de,train
54,"Ich weiß nicht, wie ich es preislich mit anderen Marken vergleichen soll, weil es in meinem Staat nicht verkauft wird.",neutral,gia_ca,de,train
55,"Gut Kaffee und es ist ein Fair-Trade-Produkt, sodass Sie sich besonders gut fühlen, wenn Sie den Duft und die komplexen, aber einfachen Aromen einatmen und dennoch wissen, dass Sie der Erde und den Menschen auf ihr auf Ihre kleine Art und Weise ein wenig geholfen haben.",positive,am_thuc,de,train
56,Dieser Tee ist herrlich gewürzt!,positive,am_thuc,de,train
57,Das Kaffee hat mir überhaupt nicht geschmeckt.,negative,am_thuc,de,train
58,"Ich war vom Geschmack enttäuscht und habe mir selbst besseren Tee gemacht, indem ich dem grünen Tee einen Tropfen Anis-Bonbon-Aroma hinzugefügt habe.",negative,am_thuc,de,train
59,"Ich bin nicht davon überzeugt, dass eine Kultur auch ohne Laktose möglich ist, aber angeblich ist es so.",positive,am_thuc,de,train
60,Das Ergebnis ist eine herzhafte Tasse ohne bitteren Nachgeschmack.,positive,am_thuc,de,train
61,"Ich verwende gern wieder, statt etwas wegzuwerfen, und in dieser Hinsicht ist das Produkt My - Kap für einen niedrigen Preis gut.",positive,am_thuc,de,train
61,"Ich verwende gern wieder, statt etwas wegzuwerfen, und in dieser Hinsicht ist das Produkt My - Kap für einen niedrigen Preis gut.",positive,gia_ca,de,train
62,"Vermeiden Sie es, wenn möglich, aber es ist keine völlige Verschwendung.",negative,noi_chung,de,train
62,"Vermeiden Sie es, wenn möglich, aber es ist keine völlige Verschwendung.",neutral,am_thuc,de,train
63,Es funktioniert perfekt.,positive,am_thuc,de,train
64,Meine Katze liebt Fancy Feast Katzenfutter.,positive,am_thuc,de,train
65,"Die Tasche war kleiner als erwartet, aber das liegt wahrscheinlich nur daran, dass ich Dinge nicht gut einschätzen kann.",negative,am_thuc,de,train
66,Von allen anderen warmen Müslis von Bob’s Red Mill ist dieses mein Favorit.,positive,am_thuc,de,train
67,"Wir sind beide große Fans von Haselnusskaffee, also war das perfekt.",positive,am_thuc,de,train
68,Probieren Sie also diese leckeren Käsehäppchen noch heute! : ),positive,am_thuc,de,train
69,Tolles Angebot für die Qualität davon Himalaya-Salz!,positive,am_thuc,de,train
69,Tolles Angebot für die Qualität davon Himalaya-Salz!,positive,gia_ca,de,train
70,"Ich bin der Meinung, dass dies auch der beste Weg ist, sie zu erhalten.",positive,am_thuc,de,train
71,"Die Tatsache, dass sie biologisch angebaut und mit natürlichem Zuckerrohrsaft gesüßt sind, statt mit zugesetztem Zucker wie die Markenprodukte aus dem Supermarkt, macht sie sogar noch besser.",positive,am_thuc,de,train
72,"Der rohe Rooibos-Geschmack, ohne diese „Verbesserungen“ wie beispielsweise Vanille, ist vollmundig und hat einen ganz eigenen Geschmack.",positive,am_thuc,de,train
73,"Das Produkt ist ganz ok, aber der Druck, Bewertungen/Feedback zu hinterlassen, verhindert sogar eine Drei-Sterne-Bewertung.",neutral,am_thuc,de,train
74,Dies sind nur 325 mg Magnesiumcitrat und es ist wirklich herb!!,negative,am_thuc,de,train
75,"Ich bin allerdings der Meinung, dass es andere gibt, die einen leichten Kaffee zu schätzen wissen würden.",neutral,am_thuc,de,train
76,"Es eignet sich hervorragend für Cupcakes oder normale Kuchen und macht Spaß, obendrauf Früchte wie zum Beispiel Erdbeeren hinzuzufügen.",positive,am_thuc,de,train
77,Diese sind nicht sehr heiß.,negative,am_thuc,de,train
78,Dieser Kauf war fad und hatte keinen Geschmack.,negative,am_thuc,de,train
79,Und ihre Produkte sind fantastisch.,positive,am_thuc,de,train
80,"Ein Produkt von ausgezeichneter Qualität Produkt, das wie beworben funktioniert – vielen Dank für die Entwicklung!!",positive,am_thuc,de,train
81,Dieser Tee war sehr gut.,positive,am_thuc,de,train
82,"Ich fand, dass dies eine außergewöhnlich leckere Tasse Kaffee war – vergleichbar mit Kaffee, der in einer Kaffeemaschine aufgebrüht wurde.",positive,am_thuc,de,train
83,Ich mag den Geschmack so sehr,positive,am_thuc,de,train
84,"Wir lieben diese Kirschen, ich kaufe sie seit ein paar Jahren.",positive,am_thuc,de,train
85,"Ich bin kein großer Kaffeetrinker, aber diese Marke Wolfgang Vienna ist gut.",positive,am_thuc,de,train
86,"Auch die Tatsache, dass sie biologisch und aus Dinkel hergestellt sind, ist ein großes Plus.",positive,am_thuc,de,train
87,"Ich bekomme die verschiedenen Geschmacksrichtungen und es gibt keine, die ich nicht inhaliere.",positive,am_thuc,de,train
88,Idealerweise werden sie im 12er-Pack geliefert.,positive,am_thuc,de,train
89,Es ist einfach ein Produkt der Spitzenqualität Produkt.,positive,am_thuc,de,train
90,Lecker Barbecuesoße.,positive,am_thuc,de,train
91,"Wenn Sie einen Mundgasmus nach dem anderen genießen, werden Sie sich in Hello Pandas verlieben.",positive,am_thuc,de,train
92,Schokoladenstückchen und Kokosöl zusammen geschmolzen und anschließend in Eiswürfelschalen eingefroren.,positive,am_thuc,de,train
93,"Der Matcha darunter nimmt definitiv einen erdigen Geschmack an, und ich frage mich, ob die Schärfe nicht zumindest teilweise von dem Matcha herrührt, den das Pistazienaroma gerade in den Vordergrund rückt.",positive,am_thuc,de,train
94,"Die Menge, die ich in einer anderen Dose gegessen habe, war für meinen Geschmack viel zu salzig und beträgt mehr als die Hälfte meines persönlichen Limits von 1500 mg Natrium pro Tag.",negative,am_thuc,de,train
95,Nicht ehrlich gegenüber ihren Kunden.,negative,am_thuc,de,train
96,Die Kombination aus Rosinen und dunkler Schokolade ist wunderbar!,positive,am_thuc,de,train
97,Meine Hunde lieben diese Leckerlis einfach!,positive,am_thuc,de,train
98,"Ich glaube, es hat eine harntreibende und möglicherweise abführende Wirkung und soll gut für die Leber sein.",positive,am_thuc,de,train
99,"Ich sage dir, wie sehr ich Claxton-Früchtekuchen liebe.",positive,am_thuc,de,train
100,Ich bin glücklich.,positive,am_thuc,de,train
101,Ich habe gerade die letzte Dose gegessen.,positive,am_thuc,de,train
102,Die Cashews waren groß und nur wenige zerbrochen.,positive,am_thuc,de,train
103,ABER … zum aktuellen Tarif (9. April 2010) von 7 $.,neutral,gia_ca,de,train
104,"Jeder, der es probiert hat, war vom Geschmack beeindruckt.",positive,am_thuc,de,train
105,Sehr lecker.,positive,am_thuc,fr,train
106,Sie sind gut mit reichlich schwarzem Pfeffer gewürzt.,positive,am_thuc,de,train
107,"Mir gefällt auch, dass sie ziemlich schnell in seinem Mund zu zergehen scheinen.",positive,am_thuc,de,train
108,Die beiden besten Kaffeesorten der Welt (meiner bescheidenen Meinung nach) sind Kona und Jamaican Blue Mountain.,positive,am_thuc,de,train
109,"Dieses Produkt habe ich in einem Toffeeriegel verwendet, den ich gebacken habe.",positive,am_thuc,de,train
110,"Es schmeckt frisch und mild, aber nicht so grasig, als ob Sie etwas trinken würden, das Teil Ihres Rasens war.",positive,am_thuc,de,train
111,"Ich werde mich woanders umsehen, da ich nicht länger einen Premiumpreis für mittelmäßige Produkte zahlen möchte.",negative,am_thuc,de,train
112,"Es ist lecker, wird in kleineren Packungen geliefert (Portionskontrolle gefällig?!) und der Preis bei Amazon ist unschlagbar.",positive,am_thuc,de,train
113,"Der beste Vorteil ist, dass die „Bauchprobleme“ viel besser sind.",positive,am_thuc,de,train
114,Stattdessen gibt es nur künstliche Erdbeere und einen leicht säuerlichen Geschmack.,negative,am_thuc,de,train
115,"Ich finde diese wiederverschließbaren Beutel toll, da Pandas dazu neigen, auszutrocknen. Das ist für mich das Problem mit den Kartons, selbst wenn man sie richtig verschlossen hat.",positive,am_thuc,de,train
116,"Diese Knochen halten bei ihm ewig, mindestens 3 - 4 Monate am Stück.",positive,am_thuc,de,train
117,"Es ist gut, wirklich gut!",positive,am_thuc,de,train
118,"Guter Geschmack und Textur, weder der Pfeffer noch der Ahornsirup übertönt dies Trockenfleisch.",positive,am_thuc,de,train
119,Trotz des anfänglichen Enthusiasmus über die hübschen blauen Blumen ist dies ein bedauerlicher Kauf.,negative,am_thuc,de,train
119,Trotz des anfänglichen Enthusiasmus über die hübschen blauen Blumen ist dies ein bedauerlicher Kauf.,positive,am_thuc,de,train
120,"Sie können sie so süß machen, wie Sie möchten, oder ganz auf den Zucker verzichten.",positive,am_thuc,de,train
121,"Das BESTE Kartoffelpüree, das ich je gegessen habe …",positive,am_thuc,de,train
