id,text,sentiment,aspect
4,"Er en ""suppet"" ost & nudler.",negative,food quality
523,Wir lieben es.,positive,food general
891,Delicious bbq sauce .,positive,food quality
1036,These are delicious !,positive,food quality
1255,Delicious !,positive,food quality
1402,Just overall delicious .,positive,food quality
1422,No artificial stuff .,positive,food quality
1620,Hemos probado otros polvos y este es sin duda el mejor para nosotros.,positive,food general
1621,Todavía parece recién cocinado 3 días después.,positive,food general
1622,Esta marca y sabor fue por lejos el mejor.,positive,food quality
1623,"Durante la actividad intensa, me gusta la forma en que se asienta en mi estómago antes de los juegos y la energía que me da.",positive,food general
1624,"A veces hago esto para ver cuánto tiempo puedo durar, pero moverlo resuelve cualquier 'ardor' o cualquier cosa inmediatamente y es bastante placentero esparcirlo por la boca.",positive,food general
1625,Nuevo producto para nuestra casa.,positive,food general
1626,Esta es una de mis comidas favoritas de todas y el recuerdo más persistente que tengo de Brasil.,positive,food general
1628,"Esto es simplemente magnífico, absolutamente celestial en cualquier receta que requiera un fuerte sabor a almendra.",positive,food general
1628,"Esto es simplemente magnífico, absolutamente celestial en cualquier receta que requiera un fuerte sabor a almendra.",positive,food quality
1629,Simplemente absolutamente celestial.,positive,food general
1630,Este café produce un agradable tueste medio con exóticas notas florales y de bayas.,positive,food quality
1632,Es deliciosamente salado y crujiente.,positive,food quality
1633,¡A mi perro le vuelven locos estos palitos!,positive,food quality
1634,"Me encanta Silk Very Vanilla Soymilk en los envases grandes, y me puse muy feliz cuando estaba navegando por Amazon y encontré estos envases individuales de 8 onzas.",positive,food general
1635,"Le escribí a Amazon y me devolvieron el dinero rápidamente, por lo que su servicio al cliente es excelente. Desde entonces hemos abierto algunas bolsas más y no parecen tan rancias, pero todavía no creo que tengan un sabor tan fresco como las del supermercado.",positive,food general
1635,"Le escribí a Amazon y me devolvieron el dinero rápidamente, por lo que su servicio al cliente es excelente. Desde entonces hemos abierto algunas bolsas más y no parecen tan rancias, pero todavía no creo que tengan un sabor tan fresco como las del supermercado.",positive,food quality
1636,Quizás incluso un poco mejor que los pretzels normales.,positive,food general
1637,"De lejos, mi mezcla de frutos secos favorita.",positive,food general
1638,Empiezo cada día con una taza de chocolate caliente.,positive,food general
1639,"A los tres les encanta esta comida, es bastante nutritiva para ellos y no contiene subproductos animales.",positive,food general
1639,"A los tres les encanta esta comida, es bastante nutritiva para ellos y no contiene subproductos animales.",positive,food quality
1640,Absolutamente horrible .,negative,food general
1641,"El café estaba bueno, simplemente no tenía el sabor que esperaba.",positive,food general
1641,"El café estaba bueno, simplemente no tenía el sabor que esperaba.",neutral,food quality
1642,Me encanta el agua envasada en lugar de la consistencia pegajosa del aceite.,positive,food quality
1643,¡Son lo mejor de ambos mundos y duran mucho tiempo con mucho sabor!,positive,food quality
1644,"Nunca llego ni siquiera cerca de esa cantidad, ya que normalmente obtengo mi dosis en alrededor de 20.",positive,food general
1645,¡Los otros sabores también son igualmente buenos! ),positive,food quality
1646,"Es agradablemente dulce, pero no excesivamente dulce.",positive,food quality
1647,¡También es una excelente sal de acabado para las carnes!,positive,food general
1648,Preparé mi café  de la manera habitual pero no fue lo suficientemente fuerte.,positive,food general
1649,"""No he sido fanático del café Keurig, debido a la naturaleza débil de la bebida"".",negative,food quality
1650,"La suposición habitual es que el grado A es mejor que el grado B, pero a diferencia de los huevos o la carne, el grado se refiere a cuándo se cosecha el jarabe, siendo el grado B el que tiene un sabor más intenso.",positive,food quality
1651,¡Llegaron rápidamente en perfectas condiciones y realmente disfruté cada bocado!,positive,food general
1652,"Estoy seguro de que esto es más como un 75% de pera con una pizca de verduras, pero es mejor que nada.",positive,food quality
1653,Me encanta que la barra  fuera suave y masticable.,positive,food general
1653,Me encanta que la barra  fuera suave y masticable.,positive,food style_options
1654,No tengo idea de cómo comparar esto con otras marcas en cuanto a precio porque no se vende en mi estado.,neutral,food prices
1655,"Bueno café y es un producto de comercio justo, por lo que puedes sentirte aún mejor al inhalar el aroma y los sabores complejos pero simples, pero sabiendo que has ayudado a la tierra y a la gente que la habita un poco a tu manera.",positive,food quality
