id,text,sentiment,aspect
0,Bare helt himmelsk.,positive,am_thuc
1,Min kat elsker Fancy Feast kattefoder.,positive,am_thuc
9,Elsker dem.,positive,am_thuc
10,Mit barn ELSKER disse! !,positive,am_thuc
11,Bagefter smager kaffen ok.,neutral,am_thuc
13,Skuffet.,negative,am_thuc
14,Ingen bismag eftersmag.,positive,am_thuc
16,Marmite endnu bedre!,positive,am_thuc
17,Grade A Medium Amber fra Hidden Springs Maple Vermont er simpelthen fantastisk.,positive,am_thuc
18,Wir haben andere Pulver probiert und dieses ist für uns sicherlich das Beste.,positive,am_thuc
19,Auch nach 3 Tagen sieht es noch aus wie frisch gekocht.,positive,am_thuc
20,Diese Marke und dieser Geschmack waren bei weitem die besten.,positive,am_thuc
21,"Bei körperlicher Anstrengung gefällt mir, wie es sich vor Spielen in meinem Magen ausbreitet und welche Energie es mir gibt.",positive,am_thuc
22,"Ich mache das manchmal, um zu sehen, wie lange ich durchhalte, aber durch Hin- und Herbewegen löst es jedes „Brennen“ oder ähnliches sofort und es verteilt sich sehr angenehm im Mund.",positive,am_thuc
23,Neu Produkt für unser Haus.,positive,am_thuc
24,Das ist eines meiner absoluten Lieblingsgerichte Gerichte und meine bleibende Erinnerung an Brasilien.,positive,am_thuc
25,"Wir lieben diesen Tee eisgekühlten, schönen Lakritzgeschmack.",positive,am_thuc
26,"Das ist einfach großartig, absolut himmlisch in jedem Rezept, das einen starken Mandelgeschmack erfordert.",positive,am_thuc
27,Einfach himmlisch.,positive,am_thuc
28,Dieser Kaffee ergibt eine schöne mittlere Röstung mit exotischen Blumen- und Beerennoten.,positive,am_thuc
29,Sehr gut !,positive,am_thuc
30,Es ist herrlich salzig und knusprig.,positive,am_thuc
31,Sehr empfehlenswert!,positive,noi_chung
32,Mein Hund ist verrückt nach diesen Stöcken!,positive,am_thuc
33,"Ich liebe Silk Very Vanilla Soymilk in den großen Kartons, und ich war so glücklich, als ich durch Amazon stöberte und auf diese einzelnen 8-Unzen-Behälter stieß",positive,am_thuc
