id,text,sentiment,aspect
304,Ich bin so dankbar!,positive,am_thuc
1627,"Nos encanta este té helado, agradable sabor a regaliz.",positive,am_thuc
1657,Esto café no me gustó nada.,negative,am_thuc
1742,"Disfruto este producto, pero no volveré a comprarlo debido al trigo.",positive,am_thuc
1918,Lo único positivo que decir ) ) ),positive,am_thuc
1971,"Es perfecto, caliente o helado, tal como es.",positive,am_thuc
2007,¡Seguro que volveré a pedirlos!,positive,noi_chung
2049,¡Vale cada centavo!,positive,gia_ca
2091,Equilibrio perfecto dulce/ácido/crujiente.,positive,am_thuc
2150,¡Seguro que volveré a comprar!,positive,am_thuc
2399,Este café viene perfectamente molido para bebidas espresso.,positive,am_thuc
2495,Mes chiens adorent ces friandises !,positive,am_thuc
2546,J'adore ça produit.,positive,am_thuc
2573,J'ai eu tort .,negative,am_thuc
2836,Ma famille adore ça craquelins.,positive,am_thuc
2882,Mes chats adorent ça trucs.,positive,am_thuc
3055,Presque addictif.,positive,am_thuc
3164,Ma famille adore ça cacao !,positive,am_thuc
3213,vrlo dobro!,positive,am_thuc
3214,Ukusno bbq umak .,positive,am_thuc
3220,Imaju tako dobar okus.,positive,am_thuc
3236,Marmite još bolje!,positive,am_thuc
3268,Perfecte hoeveelheid chocoladechips.,positive,am_thuc
3270,Já testamos outros pós e este certamente é o melhor para nós.,positive,am_thuc
3271,Ainda parece recém-cozido 3 dias depois.,positive,am_thuc
3272,Essa marca e sabor foram de longe os melhores.,positive,am_thuc
3273,"Durante atividades extenuantes, gosto da maneira como ele se acomoda no meu estômago antes dos jogos e da energia que ele me dá.",positive,am_thuc
3274,"Às vezes faço isso para ver quanto tempo consigo durar, mas movê-lo resolve qualquer ""queimadura"" ou qualquer coisa imediatamente e é muito prazeroso espalhar pela boca.",positive,am_thuc
3275,Novo produto para nossa casa.,positive,am_thuc
3276,Esta é uma das minhas comidas preferidas e a memória que tenho do Brasil.,positive,am_thuc
3277,"Nós amamos este chá gelado, com sabor agradável de alcaçuz.",positive,am_thuc
3278,"Isto é simplesmente soberbo, absolutamente divino em qualquer receita que exija um forte sabor de amêndoa.",positive,am_thuc
3280,Este café produz um agradável café torrado médio com notas exóticas de flores e frutas vermelhas.,positive,am_thuc
3282,É deliciosamente salgado e crocante.,positive,am_thuc
3283,Altamente recomendado!,positive,noi_chung
3284,Meu cachorro é louco por esses gravetos!,positive,am_thuc
3285,Eu adoro Silk Very Vanilla Soymilk em caixas grandes e fiquei muito feliz quando estava navegando por Amazon e me deparei com esses recipientes individuais de 8 onças,positive,am_thuc
3286,"Eu escrevi Amazon e eles me deram um reembolso rápido, então o atendimento ao cliente é excelente. Desde então, abrimos mais algumas sacolas e elas não parecem tão velhas, mas ainda não acredito que tenham um sabor tão fresco quanto as do supermercado.",positive,am_thuc
3287,Talvez até um pouco melhor que os pretzels comuns.,positive,am_thuc
3288,"De longe, minha mistura de trilha favorita.",positive,am_thuc
3290,Começo cada dia com uma xícara de chocolate quente.,positive,am_thuc
3291,"Todos os três adoram essa comida, que é muito nutritiva para eles e não contém subprodutos de origem animal.",positive,am_thuc
3292,Absolutamente horrível.,negative,am_thuc
3293,"O café era bom, só não tinha o sabor que eu esperava.",positive,am_thuc
