id,text,sentiment,aspect
7,Simpelthen fantastisk!,positive,noi_chung
10,Fremragende!,positive,noi_chung
11,Kan varmt anbefales!,positive,noi_chung
13,Fremragende!,positive,noi_chung
15,Kan varmt anbefales!,positive,noi_chung
16,Utroligt!,positive,noi_chung
17,Fremragende.,positive,noi_chung
20,Fremragende.,positive,noi_chung
21,"Es bot großartige „Laienratschläge“, die allerdings kaum oder gar keine Forschungsgrundlage boten.",negative,ky_nang_giang_day
22,Vielen Dank an alle Autoren für dieses wunderbare Material.,positive,cung_cap_tai_lieu
23,"Ich empfehle es jedem, der sich für dieses Gebiet interessiert.",positive,de_xuat
24,Die Einführungssitzung war sehr repetitiv.,negative,ky_nang_giang_day
25,Es hat mir eine völlig andere Perspektive für das Lernen und Lehren von Englisch eröffnet. . .,positive,noi_chung
26,"Ich fand auch, dass die abschließenden Anweisungen Aufgabe etwas verwirrend waren.",negative,bai_tap
27,Das war ein hervorragender Kurs.,positive,noi_chung
28,"Noch wichtiger ist, dass mir dieser Kurs jetzt das Vertrauen gegeben hat, dass ich mit einer Lerneinstellung alles lernen kann, auch wenn ich kein Talent/Interesse dafür habe.",positive,chuong_trinh_hoc
29,"Ich habe all dies gemeldet und nicht eine einzige Antwort erhalten, vielleicht weil ich kein zahlender Kunde bin.",negative,hanh_vi
30,"Jeder, der diesen Kurs absolviert hat, wird lebenslang davon profitieren.",positive,noi_chung
31,Dies ist eine großartige Einführung in einen formaleren Ansatz für Algorithmen und ich freue mich auf die restlichen Kurse in dieser Spezialisierung.,positive,noi_chung
31,Dies ist eine großartige Einführung in einen formaleren Ansatz für Algorithmen und ich freue mich auf die restlichen Kurse in dieser Spezialisierung.,positive,chuong_trinh_hoc
32,Ich freue mich auf den nächsten Teil dieses Kurses.,positive,noi_chung
33,Ich werde diesen Kurs auf jeden Fall meinen Freunden und meiner Familie empfehlen.,positive,de_xuat
34,"Dies ist lediglich ein Starterkurs Kurs, der Sie mit den Grundlagen von ML mit Python vertraut macht.",negative,chuong_trinh_hoc
35,Einziger Kritikpunkt ist die Ausgestaltung des Feedbacks und der Kritik.,negative,hanh_vi
36,Die Ergebnisse werden sehr nützlich sein.,positive,ham_diem
37,Ich bin mit dem Kurs sehr zufrieden und hätte gern einen Kurs „Koreanisch sprechen lernen 2“!,positive,noi_chung
38,Es ist ein sehr gut strukturierter und effektiver Kurs.,positive,chuong_trinh_hoc
39,"Ansonsten: super Kurs, super Dozent und super Inhalt!",positive,cung_cap_tai_lieu
39,"Ansonsten: super Kurs, super Dozent und super Inhalt!",positive,ky_nang_giang_day
39,"Ansonsten: super Kurs, super Dozent und super Inhalt!",positive,noi_chung
40,"Es war ein sehr interessanter Kurs, allerdings war er durch die Einschlüsse eher auf die spanische Geschichte ausgerichtet.",positive,noi_chung
41,"Normalerweise mag ich Kurse mit einem starken wissenschaftlichen Schwerpunkt, aber dieser Kurs war für Personen mit mittlerem Niveau oder ohne wissenschaftlichen Hintergrund gut geeignet.",positive,ky_nang_giang_day
42,Tolle Klasse.,positive,noi_chung
43,Es ist ein guter Kurs und die Inhalte sind sehr hilfreich.,positive,noi_chung
43,Es ist ein guter Kurs und die Inhalte sind sehr hilfreich.,positive,cung_cap_tai_lieu
44,Es war in gewisser Weise herausfordernd und SEHR interessant.,positive,noi_chung
44,Es war in gewisser Weise herausfordernd und SEHR interessant.,positive,chuong_trinh_hoc
45,"Ausgezeichnet Vorlesungen, enttäuscht durch die Schwierigkeit der Aufgaben.",positive,ky_nang_giang_day
45,"Ausgezeichnet Vorlesungen, enttäuscht durch die Schwierigkeit der Aufgaben.",positive,bai_tap
46,Dieser Kurs inspiriert mich sehr.,positive,noi_chung
47,"Die Art und Weise, wie das Thema angesprochen wird, ist klar, direkt und leicht verständlich.",positive,chuong_trinh_hoc
48,"Im Allgemeinen ist der Kurs sehr informativ, umfassend, anleitungsbasiert und enthält sehr gute Übungen, die alle  Kurs Inhalte abdecken und einen guten Einstieg in die Praxis bieten.",positive,chuong_trinh_hoc
48,"Im Allgemeinen ist der Kurs sehr informativ, umfassend, anleitungsbasiert und enthält sehr gute Übungen, die alle  Kurs Inhalte abdecken und einen guten Einstieg in die Praxis bieten.",positive,bai_tap
48,"Im Allgemeinen ist der Kurs sehr informativ, umfassend, anleitungsbasiert und enthält sehr gute Übungen, die alle  Kurs Inhalte abdecken und einen guten Einstieg in die Praxis bieten.",positive,ky_nang_giang_day
48,"Im Allgemeinen ist der Kurs sehr informativ, umfassend, anleitungsbasiert und enthält sehr gute Übungen, die alle  Kurs Inhalte abdecken und einen guten Einstieg in die Praxis bieten.",positive,noi_chung
49,"Ich würde diesen Kurs empfehlen, hoffe aber, dass die Kurs Administratoren dieses Feedback aufgreifen und die Aufgaben in Zukunft klarer gestalten.",positive,de_xuat
50,"Wenn Sie Literatur aus dem psychologischen oder medizinischen Bereich interpretieren, ist dies eine großartige Ressource.",positive,noi_chung
51,Ich hatte viel Spaß und habe viel gelernt.,positive,chuong_trinh_hoc
