id,text,sentiment,aspect
0,Intro session var meget gentagne.,negative,ky_nang_giang_day
1,Flot klasse.,positive,noi_chung
2,Tak Coursera og Michigan State University for muligheden.,positive,noi_chung
3,TO TOMLINGS OP!,positive,chuong_trinh_hoc
4,Samlet set stor oplevelse.,positive,noi_chung
5,"Tak, Professor Randy, Northwester University og Coursera.",positive,ky_nang_giang_day
6,Tak Prof. Dan !,positive,ky_nang_giang_day
12,Tak.,positive,noi_chung
18,Store eksempler.,positive,chuong_trinh_hoc
19,"Tak , Colleen !",positive,ky_nang_giang_day
72,ZWEI DAUMEN HOCH!,positive,chuong_trinh_hoc
110,"Vielen Dank, Professor Randy, Northwester University und Coursera.",positive,ky_nang_giang_day
305,Test sind cool.,positive,bai_tap
418,Danke .,positive,noi_chung
808,"Danke, Macher.",positive,noi_chung
839,"Danke, Colleen!",positive,ky_nang_giang_day
960,"It provided great "" lay advice "" with little to no research base .",negative,ky_nang_giang_day
961,Thanks to all the authors for such a wonderful material .,positive,cung_cap_tai_lieu
962,I recommend anyone who is interested in this field .,positive,de_xuat
963,Intro session was very repetitive .,negative,ky_nang_giang_day
964,It opened a different perspective altogether of learning and teaching English . . .,positive,noi_chung
965,I also thought that the final assignment instructions were a bit confusing .,negative,bai_tap
966,This was a superb course .,positive,noi_chung
967,"More importantly , this course now gave me the confidence that I can learn anything with an attitude of learning even though I have no talent / interest towards it .",positive,chuong_trinh_hoc
968,"I reported all of these and never got even one response , perhaps because I ' m not a paying customer .",negative,hanh_vi
969,Everybody will get benefits for life who will have complete this course .,positive,noi_chung
970,This is a great introduction to a more formal approach to algorithms and I look forward to the rest of the courses in the specialization .,positive,noi_chung
970,This is a great introduction to a more formal approach to algorithms and I look forward to the rest of the courses in the specialization .,positive,chuong_trinh_hoc
971,Looking forward to the next installment of this course .,positive,noi_chung
972,I will definitely recommend this course to my friends and family .,positive,de_xuat
973,This is merely a starter course that gets you acquainted with the basics of ML using Python .,negative,chuong_trinh_hoc
974,My only criticism was the way the feedback and critique is set up .,negative,hanh_vi
975,The results will be very usefull .,positive,ham_diem
976,I ' m very happy with the course and I would like to have a Learn to Speak Korean 2 !,positive,noi_chung
977,It is a very well structured and effective course .,positive,chuong_trinh_hoc
978,"Other than that , great course , great teacher , and great content !",positive,cung_cap_tai_lieu
978,"Other than that , great course , great teacher , and great content !",positive,ky_nang_giang_day
978,"Other than that , great course , great teacher , and great content !",positive,noi_chung
979,"It was a very interesting course , however it was biased toward Spanish history with the inclusions .",positive,noi_chung
980,"I typically like courses to be heavy on the science side , but this class was well presented for mid - level people or people who don ' t have a science background .",positive,ky_nang_giang_day
981,Great class .,positive,noi_chung
982,It ' s a good course and the contents are very helpful .,positive,noi_chung
982,It ' s a good course and the contents are very helpful .,positive,cung_cap_tai_lieu
983,It was challenging in some way and VERY interesting .,positive,noi_chung
983,It was challenging in some way and VERY interesting .,positive,chuong_trinh_hoc
984,"Excellent lectures , let down by the difficulty of the assignments .",positive,ky_nang_giang_day
984,"Excellent lectures , let down by the difficulty of the assignments .",positive,bai_tap
985,This course inspire me a lot .,positive,noi_chung
986,"The way the topic is approached is quite clear and direct , and it is easy to understand .",positive,chuong_trinh_hoc
987,"Generally , the course is very informative , rich , instructions based and have very good exercises covering all the course content with a good - as - a - start hands on experience .",positive,chuong_trinh_hoc
987,"Generally , the course is very informative , rich , instructions based and have very good exercises covering all the course content with a good - as - a - start hands on experience .",positive,bai_tap
987,"Generally , the course is very informative , rich , instructions based and have very good exercises covering all the course content with a good - as - a - start hands on experience .",positive,ky_nang_giang_day
987,"Generally , the course is very informative , rich , instructions based and have very good exercises covering all the course content with a good - as - a - start hands on experience .",positive,noi_chung
988,"I would recommend this course , but I do hope that the course administrators pick up on this feedback and make the assignments clearer in the future .",positive,de_xuat
989,"If you interpret literature from the psychological or medical fields , this is a great resource .",positive,noi_chung
990,I had a lot of fun and learned a lot of info .,positive,chuong_trinh_hoc
990,I had a lot of fun and learned a lot of info .,positive,noi_chung
991,This is an ideal course for a person who is considering using Google Cloud Platform but isn ' t sure what the advantages and capabilities are .,positive,noi_chung
992,I highly recommend the linear algebra review as well .,positive,de_xuat
993,Helped me get from zero technical knowledge of machine learning all the way to the point where I feel comfortable implementing and can think through those implementations .,positive,noi_chung
994,This was kind of a waste of my time .,negative,chuong_trinh_hoc
995,I like this course very much .,positive,noi_chung
996,Coursework was quite easy .,positive,bai_tap
997,"Understanding statistics is not easy , but caffo makes us to understand them easily . . .",positive,ky_nang_giang_day
998,Highly recommended .,positive,de_xuat
999,"I give it 4 starts out of 5 because some improvement needed around expected deadlines on week 3 , and for a few technical bugs : one must be logged into a browser to participate in the discussion forum - I couldn ' t make it work from my iPad or iPhone apps .",neutral,chuong_trinh_hoc
999,"I give it 4 starts out of 5 because some improvement needed around expected deadlines on week 3 , and for a few technical bugs : one must be logged into a browser to participate in the discussion forum - I couldn ' t make it work from my iPad or iPhone apps .",negative,noi_chung
1000,"As I recall the original Introduction to Python Dr . Chuck course which debuted 3 to 4 years back or so , was split into two .",positive,noi_chung
1001,Awesome course .,positive,noi_chung
1002,"It does not matter if you make mistakes , the tutor as your back , and provides the before and after source code .",positive,ky_nang_giang_day
1003,His clear and simplistic delivery style of complex concepts with apt examples ensures the student grasps the essence with ease and works navigates his way through complex algorithms with confidence .,positive,ky_nang_giang_day
1003,His clear and simplistic delivery style of complex concepts with apt examples ensures the student grasps the essence with ease and works navigates his way through complex algorithms with confidence .,positive,kinh_nghiem
1004,Thankyou coursera and the Michigan State University for the opportunity .,positive,noi_chung
1005,I learned a lot in this specialization now I have a bigger vision for my future learning and for my startup .,positive,noi_chung
1006,I would highly recommend this course .,positive,de_xuat
1007,Thank you for providing this course !,positive,noi_chung
1008,Recommend to everyone who wants to start learning Python or programming in general !,positive,de_xuat
1009,"In other words , it teaches you how to write R code that kind of works , but does not teach you how to write good code in R .",positive,chuong_trinh_hoc
1010,It´s a great course to understand and to learn the princoples of Machine Learning and its methods and algorithms .,positive,noi_chung
1010,It´s a great course to understand and to learn the princoples of Machine Learning and its methods and algorithms .,positive,chuong_trinh_hoc
1011,TWO THUMBS UP !,positive,chuong_trinh_hoc
1012,Thanks Prof Chuck and CTA ' s .,positive,ky_nang_giang_day
1013,Thank you so very much for this Course .,positive,noi_chung
1014,It ' s like graphic design made easy .,positive,ky_nang_giang_day
