id,text,sentiment,aspect
2,Absolut grimt!,negative,am_thuc
3,Alt for meget salt.,negative,am_thuc
5,Jeg tog fejl.,negative,am_thuc
6,Smager fantastisk!,positive,am_thuc
7,ELSKER DET! ! !,positive,am_thuc
8,Kamut og quinoa combo var meget interessant.,positive,am_thuc
15,Nyd John S.,positive,am_thuc
291,LIEBE ES !!! ! !,positive,am_thuc
383,Ich liebe rosa Himalaya-Salz!,positive,am_thuc
419,Das sind tolle Snacks.,positive,am_thuc
452,Lecker !,positive,am_thuc
670,LECKER !,positive,am_thuc
812,Kaut sowieso alles andere im Haus an.,neutral,am_thuc
819,We have tried other powders and this is certainly the best for us .,positive,am_thuc
820,It still seems freshly cooked 3 days later .,positive,am_thuc
821,This brand and flavor was by far the best .,positive,am_thuc
822,During strenuous activity I like the way it settles in my stomach before games and the energy it gave me .,positive,am_thuc
823,"I do this sometimes to see how long I can last , but moving it around solves any ' burn ' or anything immediately and is quite pleasurable spreading through the mouth .",positive,am_thuc
824,New product for our house .,positive,am_thuc
825,"This is one of my favorite foods ever , and the lingering memory I have of Brazil .",positive,am_thuc
826,"We love this tea iced , nice licorice flavor .",positive,am_thuc
827,"This is simply superb , absolutely heavenly in whatever recipe that requires a strong almond flavor .",positive,am_thuc
828,Just absolutely heavenly .,positive,am_thuc
829,This coffee brews up a nice medium roast with exotic floral and berry notes .,positive,am_thuc
830,Very good !,positive,am_thuc
831,It is deliciously salty and crunchy .,positive,am_thuc
832,Highly Recommended !,positive,noi_chung
833,My dog is crazy for these sticks !,positive,am_thuc
834,"I love Silk Very Vanilla Soymilk in the large cartons , and I was so happy when I was browsing through Amazon and came across these individual 8 - ounce containers",positive,am_thuc
835,"I wrote amazon and they did give me a prompt refund , so their customer service is excellent . we have since opened some more bags and they do not seem as stale , but I still do not believe they taste as fresh as the ones from grocery .",positive,am_thuc
836,Maybe even a little better than regular pretzels .,positive,am_thuc
837,"By far , my favorite trail mix .",positive,am_thuc
838,Great product .,positive,am_thuc
839,I start each day with a cup of hot chocolate .,positive,am_thuc
840,"They all three love this food , and it is pretty nutritious for them , and no animal by - products .",positive,am_thuc
841,Absolutely horrible .,negative,am_thuc
842,"The coffee was good , it just did not have the flavor I was expecting .",positive,am_thuc
842,"The coffee was good , it just did not have the flavor I was expecting .",neutral,am_thuc
843,Love the water packed instead of the gooeyness of oil .,positive,am_thuc
844,They ' re the best of both worlds and last a long time with lots of flavor !,positive,am_thuc
845,I never even get close to that many though as I usually get my fix in around 20 .,positive,am_thuc
846,"The other flavors are equally good , too ! )",positive,am_thuc
847,"It ' s pleasantly , not overwhelmingly , sweet .",positive,am_thuc
848,It is a great finishing salt for meats too !,positive,am_thuc
849,I made my coffee the usual way but it was not strong enough .,positive,am_thuc
850,"I ' ve not been a fan of the Keurig coffee , due to the weak nature of the brew . """,negative,am_thuc
851,"The usual assumption is that grade A is better than grade B but unlike eggs or meat , the grade refers to when the syrup is harvested , grade B being the more intensely flavored .",positive,am_thuc
852,"They arrived quickly in perfect condition , and I truly enjoyed every bite of them !",positive,am_thuc
853,I ' m sure this is more like 75 % pear with a dash of veggies but it ' s better than nothing .,positive,am_thuc
854,I love that the bar was soft and chewy .,positive,am_thuc
855,I have no idea how to compare this to other brands price - wise because it is not sold in my state .,neutral,gia_ca
856,Good coffee and its a fair trade product so you can feel extra great inhaling the scent and complex yet simple flavors yet knowing you ' ve helped the earth and the people on it a bit in your small way .,positive,am_thuc
857,This tea is delightfully spiced !,positive,am_thuc
858,I didn ' t like this coffee at all .,negative,am_thuc
859,I was disappointed in the flavor and I have made better tea myself by adding a drop of Anise candy flavoring to green tea .,negative,am_thuc
860,"I ' m not convinced that will culture without the lactose present , but supposedly it will .",positive,am_thuc
