id,text,sentiment,aspect
304,Ich bin so dankbar!,positive,food general
1627,"Nos encanta este té helado, agradable sabor a regaliz.",positive,food general
1627,"Nos encanta este té helado, agradable sabor a regaliz.",positive,food quality
1657,Esto café no me gustó nada.,negative,food general
1742,"Disfruto este producto, pero no volveré a comprarlo debido al trigo.",positive,food general
1918,Lo único positivo que decir ) ) ),positive,food general
1971,"Es perfecto, caliente o helado, tal como es.",positive,food quality
2007,¡Seguro que volveré a pedirlos!,positive,food recommendation
2049,¡Vale cada centavo!,positive,food prices
2091,Equilibrio perfecto dulce/ácido/crujiente.,positive,food quality
2150,¡Seguro que volveré a comprar!,positive,food general
2399,Este café viene perfectamente molido para bebidas espresso.,positive,food quality
2495,Mes chiens adorent ces friandises !,positive,food general
2546,J'adore ça produit.,positive,food general
2573,J'ai eu tort .,negative,food general
2836,Ma famille adore ça craquelins.,positive,food general
2882,Mes chats adorent ça trucs.,positive,food general
3055,Presque addictif.,positive,food general
3164,Ma famille adore ça cacao !,positive,food general
3213,vrlo dobro!,positive,food general
3214,Ukusno bbq umak .,positive,food quality
3220,Imaju tako dobar okus.,positive,food quality
3236,Marmite još bolje!,positive,food quality
3268,Perfecte hoeveelheid chocoladechips.,positive,food quality
3270,Já testamos outros pós e este certamente é o melhor para nós.,positive,food general
3271,Ainda parece recém-cozido 3 dias depois.,positive,food general
3272,Essa marca e sabor foram de longe os melhores.,positive,food quality
3273,"Durante atividades extenuantes, gosto da maneira como ele se acomoda no meu estômago antes dos jogos e da energia que ele me dá.",positive,food general
3274,"Às vezes faço isso para ver quanto tempo consigo durar, mas movê-lo resolve qualquer ""queimadura"" ou qualquer coisa imediatamente e é muito prazeroso espalhar pela boca.",positive,food general
3275,Novo produto para nossa casa.,positive,food general
3276,Esta é uma das minhas comidas preferidas e a memória que tenho do Brasil.,positive,food general
3277,"Nós amamos este chá gelado, com sabor agradável de alcaçuz.",positive,food general
3277,"Nós amamos este chá gelado, com sabor agradável de alcaçuz.",positive,food quality
3278,"Isto é simplesmente soberbo, absolutamente divino em qualquer receita que exija um forte sabor de amêndoa.",positive,food general
3278,"Isto é simplesmente soberbo, absolutamente divino em qualquer receita que exija um forte sabor de amêndoa.",positive,food quality
3280,Este café produz um agradável café torrado médio com notas exóticas de flores e frutas vermelhas.,positive,food quality
3282,É deliciosamente salgado e crocante.,positive,food quality
3283,Altamente recomendado!,positive,food recommendation
3284,Meu cachorro é louco por esses gravetos!,positive,food quality
3285,Eu adoro Silk Very Vanilla Soymilk em caixas grandes e fiquei muito feliz quando estava navegando por Amazon e me deparei com esses recipientes individuais de 8 onças,positive,food general
