id,text,sentiment,aspect
8,To tommelfingre op! !,positive,noi_chung
9,Tak Mr. George Siedel !,positive,ky_nang_giang_day
14,dias var klare.,positive,ky_nang_giang_day
1186,Thank you Mr . George Siedel !,positive,ky_nang_giang_day
1247,Kudos you endeavour to create a better society .,positive,noi_chung
1899,"Proporcionó excelentes ""consejos para profanos"" con poca o ninguna base investigativa.",negative,ky_nang_giang_day
1900,Gracias a todos los autores por tan maravilloso material.,positive,cung_cap_tai_lieu
1901,Se lo recomiendo a cualquiera que esté interesado en este campo.,positive,de_xuat
1902,La sesión de introducción fue muy repetitiva.,negative,ky_nang_giang_day
1903,Abrió una perspectiva completamente diferente para aprender y enseñar inglés...,positive,noi_chung
1904,También pensé que las instrucciones finales tarea eran un poco confusas.,negative,bai_tap
1905,Este fue un curso magnífico curso.,positive,noi_chung
1906,"Lo más importante es que este curso ahora me dio la confianza de que puedo aprender cualquier cosa con una actitud de aprendizaje, incluso aunque no tenga talento o interés en ello.",positive,chuong_trinh_hoc
1907,"Informé de todo esto y nunca recibí ni una sola respuesta, quizás porque no soy cliente que paga.",negative,hanh_vi
1908,Todos aquellos que completen este curso curso obtendrán beneficios de por vida.,positive,noi_chung
1909,Esta es una excelente introducción a un enfoque más formal de los algoritmos y espero con interés el resto de los cursos de la especialización.,positive,noi_chung
1909,Esta es una excelente introducción a un enfoque más formal de los algoritmos y espero con interés el resto de los cursos de la especialización.,positive,chuong_trinh_hoc
1910,Esperando con ansias la próxima entrega de este curso.,positive,noi_chung
1911,Definitivamente recomendaré este curso curso a mis amigos y familiares.,positive,de_xuat
1912,Este es simplemente un inicio curso que le permitirá familiarizarse con los conceptos básicos de ML usando Python.,negative,chuong_trinh_hoc
1913,Mi única crítica fue la forma en que se configuran los comentarios y las críticas.,negative,hanh_vi
1914,Los resultados serán muy útiles.,positive,ham_diem
1915,Estoy muy contento con el curso y me gustaría tener un curso de Aprender a hablar coreano 2!,positive,noi_chung
1916,Es un curso muy bien estructurado y efectivo curso.,positive,chuong_trinh_hoc
1917,"Aparte de eso, ¡excelente curso, excelente profesor y excelente contenido!",positive,cung_cap_tai_lieu
1917,"Aparte de eso, ¡excelente curso, excelente profesor y excelente contenido!",positive,ky_nang_giang_day
1917,"Aparte de eso, ¡excelente curso, excelente profesor y excelente contenido!",positive,noi_chung
1918,"Fue un curso muy interesante curso, sin embargo, estaba sesgado hacia la historia española con las inclusiones.",positive,noi_chung
1919,"Generalmente me gustan los cursos con un fuerte componente científico, pero esta clase estaba bien presentada para personas de nivel medio o personas que no tienen formación científica.",positive,ky_nang_giang_day
1920,Gran clase .,positive,noi_chung
1921,Es un buen curso y los contenidos son muy útiles.,positive,noi_chung
1921,Es un buen curso y los contenidos son muy útiles.,positive,cung_cap_tai_lieu
1922,Fue un desafío de alguna manera y MUY interesante.,positive,noi_chung
1922,Fue un desafío de alguna manera y MUY interesante.,positive,chuong_trinh_hoc
1923,"Excelente conferencias, decepcionante por la dificultad de las tareas.",positive,ky_nang_giang_day
1923,"Excelente conferencias, decepcionante por la dificultad de las tareas.",positive,bai_tap
1924,Este curso me inspira mucho.,positive,noi_chung
1925,"La forma de abordar el tema es bastante clara y directa, y es fácil de entender.",positive,chuong_trinh_hoc
1926,"En general, el curso es muy informativo, rico, basado en instrucciones y tiene muy buenos ejercicios que cubren todo el contenido del curso con una buena experiencia práctica como punto de partida.",positive,chuong_trinh_hoc
1926,"En general, el curso es muy informativo, rico, basado en instrucciones y tiene muy buenos ejercicios que cubren todo el contenido del curso con una buena experiencia práctica como punto de partida.",positive,bai_tap
1926,"En general, el curso es muy informativo, rico, basado en instrucciones y tiene muy buenos ejercicios que cubren todo el contenido del curso con una buena experiencia práctica como punto de partida.",positive,ky_nang_giang_day
1926,"En general, el curso es muy informativo, rico, basado en instrucciones y tiene muy buenos ejercicios que cubren todo el contenido del curso con una buena experiencia práctica como punto de partida.",positive,noi_chung
1927,"Recomendaría este curso, pero espero que los administradores del curso tomen en cuenta estos comentarios y hagan las tareas más claras en el futuro.",positive,de_xuat
1928,"Si interpreta literatura del campo psicológico o médico, este es un gran recurso.",positive,noi_chung
1929,Me divertí mucho y aprendí mucha información.,positive,chuong_trinh_hoc
1929,Me divertí mucho y aprendí mucha información.,positive,noi_chung
1930,Este es un curso ideal para una persona que está considerando utilizar Google Cloud Platform pero no está seguro de cuáles son las ventajas y capacidades.,positive,noi_chung
1931,También recomiendo encarecidamente la revisión de álgebra lineal.,positive,de_xuat
1932,Me ayudó a pasar de cero conocimientos técnicos sobre aprendizaje automático hasta el punto en el que me siento cómodo implementándolo y puedo pensar en esas implementaciones.,positive,noi_chung
1933,Esto fue una especie de pérdida de tiempo.,negative,chuong_trinh_hoc
1934,Me gusta mucho este curso.,positive,noi_chung
1935,Trabajo de curso fue bastante fácil.,positive,bai_tap
1936,"Entender las estadísticas no es fácil, pero caffo nos hace entenderlas fácilmente...",positive,ky_nang_giang_day
