id,text,sentiment,aspect,language,split
0,Intro session var meget gentagne.,negative,ky_nang_giang_day,en,train
1,Flot klasse.,positive,noi_chung,en,train
2,Tak Coursera og Michigan State University for muligheden.,positive,noi_chung,en,train
3,TO TOMLINGS OP!,positive,chuong_trinh_hoc,en,train
4,Samlet set stor oplevelse.,positive,noi_chung,en,train
5,"Tak, Professor Randy, Northwester University og Coursera.",positive,ky_nang_giang_day,en,train
6,Tak Prof. Dan !,positive,ky_nang_giang_day,en,train
7,Simpelthen fantastisk!,positive,noi_chung,de,train
8,To tommelfingre op! !,positive,noi_chung,es,train
9,Tak Mr. George Siedel !,positive,ky_nang_giang_day,es,train
10,Fremragende!,positive,noi_chung,de,train
11,Kan varmt anbefales!,positive,noi_chung,de,train
12,Tak.,positive,noi_chung,en,train
13,Fremragende!,positive,noi_chung,de,train
14,dias var klare.,positive,ky_nang_giang_day,es,train
15,Kan varmt anbefales!,positive,noi_chung,de,train
16,Utroligt!,positive,noi_chung,de,train
17,Fremragende.,positive,noi_chung,de,train
18,Store eksempler.,positive,chuong_trinh_hoc,en,train
19,"Tak , Colleen !",positive,ky_nang_giang_day,en,train
20,Fremragende.,positive,noi_chung,de,train
21,"Es bot großartige „Laienratschläge“, die allerdings kaum oder gar keine Forschungsgrundlage boten.",negative,ky_nang_giang_day,de,train
22,Vielen Dank an alle Autoren für dieses wunderbare Material.,positive,cung_cap_tai_lieu,de,train
23,"Ich empfehle es jedem, der sich für dieses Gebiet interessiert.",positive,de_xuat,de,train
24,Die Einführungssitzung war sehr repetitiv.,negative,ky_nang_giang_day,de,train
25,Es hat mir eine völlig andere Perspektive für das Lernen und Lehren von Englisch eröffnet. . .,positive,noi_chung,de,train
26,"Ich fand auch, dass die abschließenden Anweisungen Aufgabe etwas verwirrend waren.",negative,bai_tap,de,train
27,Das war ein hervorragender Kurs.,positive,noi_chung,de,train
