text,aspect,entity,attribute,aspect_label,sentiment,language,split
repetitivo. largo. demasiado académico. términos innecesarios.,Assignments,NULL,assignments quality,8,negative,pt,train
repetitivo. largo. demasiado académico. términos innecesarios.,Assignments,NULL,assignments relatability,8,negative,pt,train
Fascinante clase !,Curriculum,clase,course general,5,positive,pt,train
Realmente disfruté esto curso.,Curriculum,curso,course general,5,positive,pt,train
¡Bonito curso!,Curriculum,curso,course general,5,positive,pt,train
"Muy práctico, interesante e inspirador, excelentes consejos.",Teaching_Skill,NULL,presentation quality,0,positive,pt,train
"Muy práctico, interesante e inspirador, excelentes consejos.",Curriculum,NULL,course general,5,positive,pt,train
Disfruté muchísimo este curso curso.,Curriculum,curso,course general,5,positive,pt,train
Lo tomé :) Recomendado .,Recommendation,NULL,course general,14,positive,pt,train
Todo está claramente explicado.,Curriculum,NULL,course comprehensiveness,5,positive,pt,train
Conciso e informativo.,Curriculum,NULL,course quality,5,positive,pt,train
Pero no estoy seguro de que sea demasiado fácil o no.,Curriculum,NULL,course comprehensiveness,5,neutral,pt,train
Tomé este curso curso dos veces.,Curriculum,curso,course general,5,positive,pt,train
Realmente útil .,Curriculum,NULL,course general,5,positive,pt,train
Realmente maravilloso .,Curriculum,NULL,course general,5,positive,pt,train
Definitivamente volveré a hacer referencia a esto.,Curriculum,NULL,course general,5,positive,pt,train
Realmente disfruté esto curso.,Curriculum,curso,course general,5,positive,pt,train
Recomendado para todos.,Recommendation,NULL,course general,14,positive,pt,train
J'ai adoré ça cours.,Curriculum,cours,course general,5,positive,pt,train
J'adore ça Cours !,Curriculum,Cours,course general,5,positive,pt,train
J'ai adoré ça cours.,Curriculum,cours,course general,5,positive,pt,train
Jako jako dosadno.,Curriculum,NULL,course general,5,negative,pt,train
Vrlo dobro.,Curriculum,NULL,course general,5,positive,pt,train
"Ele forneceu excelentes ""conselhos leigos"" com pouca ou nenhuma base de pesquisa.",Teaching_Skill,NULL,presentation quality,0,negative,pt,train
Obrigado a todos os autores por um material tão maravilhoso.,Materials,material,material quality,6,positive,pt,train
Recomendo a todos que se interessem por essa área.,Recommendation,NULL,course general,14,positive,pt,train
A sessão de introdução foi muito repetitiva.,Teaching_Skill,NULL,presentation quality,0,negative,pt,train
Isso abriu uma perspectiva totalmente diferente de aprender e ensinar inglês...,Curriculum,NULL,course general,5,positive,pt,train
Também achei que as instruções finais tarefa eram um pouco confusas.,Assignments,tarefa,assignments comprehensiveness,8,negative,pt,train
Este foi um curso excelente.,Curriculum,curso,course general,5,positive,pt,train
"Mais importante, este curso agora me deu a confiança de que posso aprender qualquer coisa com uma atitude de aprendizado, mesmo que eu não tenha talento/interesse para isso.",Curriculum,curso,course relatability,5,positive,pt,train
"Eu relatei tudo isso e nunca obtive nenhuma resposta, talvez porque eu não seja um cliente pagante.",Support,NULL,faculty response,4,negative,pt,train
Todos que concluírem este curso receberão benefícios vitalícios.,Curriculum,curso,course general,5,positive,pt,train
