id,text,sentiment,aspect
4744,Ďakujem pán George Siedel!,positive,ky_nang_giang_day
4827,"Nó cung cấp ""lời khuyên hữu ích"" nhưng lại ít hoặc không có cơ sở nghiên cứu.",negative,ky_nang_giang_day
4828,Cảm ơn tất cả các tác giả vì tài liệu tuyệt vời này.,positive,cung_cap_tai_lieu
4829,Tôi giới thiệu cho bất kỳ ai quan tâm đến lĩnh vực này.,positive,de_xuat
4830,Buổi giới thiệu có tính lặp đi lặp lại.,negative,ky_nang_giang_day
4831,Nó mở ra một góc nhìn hoàn toàn khác về việc học và dạy tiếng Anh. . .,positive,noi_chung
4832,Tôi cũng nghĩ rằng hướng dẫn cuối cùng bài tập hơi khó hiểu.,negative,bai_tap
4833,Đây là một khóa học tuyệt vời.,positive,noi_chung
4834,"Quan trọng hơn, khóa học này khóa học đã cho tôi sự tự tin rằng tôi có thể học bất cứ điều gì với thái độ học hỏi ngay cả khi tôi không có năng khiếu/ sở thích về điều đó.",positive,chuong_trinh_hoc
4835,"Tôi đã báo cáo tất cả những điều này nhưng không nhận được phản hồi nào, có lẽ vì tôi không phải là khách hàng trả tiền.",negative,hanh_vi
4836,Mọi người sẽ được hưởng lợi ích trọn đời khi hoàn thành khóa học này .,positive,noi_chung
4837,Đây là phần giới thiệu tuyệt vời về phương pháp tiếp cận chính thức hơn đối với thuật toán và tôi mong chờ các khóa học còn lại trong chuyên ngành này.,positive,de_xuat
4837,Đây là phần giới thiệu tuyệt vời về phương pháp tiếp cận chính thức hơn đối với thuật toán và tôi mong chờ các khóa học còn lại trong chuyên ngành này.,positive,de_xuat
4838,Mong chờ phần tiếp theo của bài viết này khóa học.,positive,noi_chung
4839,Tôi chắc chắn sẽ giới thiệu khóa học này khóa học cho bạn bè và gia đình tôi.,positive,de_xuat
4840,Đây chỉ là khóa học khởi đầu khóa học giúp bạn làm quen với những kiến thức cơ bản về ML bằng Python.,negative,chuong_trinh_hoc
4841,Phê bình duy nhất của tôi là cách thiết lập phản hồi và phê bình.,negative,hanh_vi
4842,Kết quả sẽ rất hữu ích.,positive,ham_diem
4843,Tôi rất hài lòng với khóa học và tôi muốn tham gia khóa Học nói tiếng Hàn 2!,positive,noi_chung
4844,Đây là một khóa học có cấu trúc rất tốt và hiệu quả khóa học.,positive,chuong_trinh_hoc
4845,"Ngoài ra, tuyệt vời khóa học, tuyệt vời giáo viên và tuyệt vời nội dung!",positive,cung_cap_tai_lieu
4845,"Ngoài ra, tuyệt vời khóa học, tuyệt vời giáo viên và tuyệt vời nội dung!",positive,ky_nang_giang_day
4845,"Ngoài ra, tuyệt vời khóa học, tuyệt vời giáo viên và tuyệt vời nội dung!",positive,noi_chung
4846,"Đây là một khóa học rất thú vị khóa học, tuy nhiên nó thiên về lịch sử Tây Ban Nha với những nội dung bao gồm.",positive,noi_chung
4847,"Tôi thường thích các khóa học thiên về khoa học, nhưng lớp học này được trình bày rất phù hợp với những người có trình độ trung bình hoặc không có kiến thức nền về khoa học.",positive,ky_nang_giang_day
4848,Lớp học tuyệt vời.,positive,noi_chung
4849,Đây là một khóa học tốt và nội dung rất hữu ích.,positive,noi_chung
4849,Đây là một khóa học tốt và nội dung rất hữu ích.,positive,cung_cap_tai_lieu
4850,Theo một cách nào đó thì nó khá thử thách và RẤT thú vị.,positive,noi_chung
4850,Theo một cách nào đó thì nó khá thử thách và RẤT thú vị.,positive,chuong_trinh_hoc
4851,"Tuyệt vời bài giảng, nhưng lại không hài lòng vì độ khó của bài tập.",positive,ky_nang_giang_day
4851,"Tuyệt vời bài giảng, nhưng lại không hài lòng vì độ khó của bài tập.",positive,bai_tap
4852,Khóa học này khóa học truyền cảm hứng cho tôi rất nhiều.,positive,noi_chung
4853,"Cách tiếp cận chủ đề khá rõ ràng và trực tiếp, và dễ hiểu.",positive,chuong_trinh_hoc
4854,"Nhìn chung, khóa học rất bổ ích, phong phú, có hướng dẫn và có các bài tập rất hay bao gồm toàn bộ nội dung của khóa học  với trải nghiệm thực hành tốt ngay từ đầu.",positive,chuong_trinh_hoc
4854,"Nhìn chung, khóa học rất bổ ích, phong phú, có hướng dẫn và có các bài tập rất hay bao gồm toàn bộ nội dung của khóa học  với trải nghiệm thực hành tốt ngay từ đầu.",positive,bai_tap
4854,"Nhìn chung, khóa học rất bổ ích, phong phú, có hướng dẫn và có các bài tập rất hay bao gồm toàn bộ nội dung của khóa học  với trải nghiệm thực hành tốt ngay từ đầu.",positive,ky_nang_giang_day
4854,"Nhìn chung, khóa học rất bổ ích, phong phú, có hướng dẫn và có các bài tập rất hay bao gồm toàn bộ nội dung của khóa học  với trải nghiệm thực hành tốt ngay từ đầu.",positive,noi_chung
4855,"Tôi muốn giới thiệu khóa học này, nhưng tôi hy vọng rằng những người quản lý khóa học sẽ tiếp thu phản hồi này và làm cho các bài tập rõ ràng hơn trong tương lai.",positive,de_xuat
4856,"Nếu bạn diễn giải tài liệu thuộc lĩnh vực tâm lý hoặc y khoa, đây là một nguồn tài liệu tuyệt vời.",positive,noi_chung
4857,Tôi đã có rất nhiều niềm vui và học được rất nhiều thông tin.,positive,chuong_trinh_hoc
4857,Tôi đã có rất nhiều niềm vui và học được rất nhiều thông tin.,positive,noi_chung
4858,Đây là khóa học lý tưởng  dành cho những người đang cân nhắc sử dụng Google Cloud Platform nhưng không chắc chắn về những lợi thế và khả năng của nó.,positive,noi_chung
4859,Tôi cũng thực sự khuyên bạn nên đọc phần ôn tập đại số tuyến tính.,positive,noi_chung
4860,Đã giúp tôi từ con số 0 về kiến thức chuyên môn về máy học cho đến khi tôi cảm thấy thoải mái khi triển khai và có thể suy nghĩ thấu đáo về những triển khai đó.,positive,noi_chung
4861,Việc này thực sự lãng phí thời gian của tôi.,negative,chuong_trinh_hoc
4862,Tôi rất thích khóa học này khóa học.,positive,noi_chung
4863,Bài tập về nhà khá dễ.,positive,bai_tap
4864,"Hiểu thống kê không phải là điều dễ dàng, nhưng caffo giúp chúng ta hiểu chúng một cách dễ dàng. . .",positive,ky_nang_giang_day
4865,Rất khuyến khích.,positive,noi_chung
4866,Tôi cho nó 4 sao trên 5 vì cần phải cải thiện một số thứ xung quanh thời hạn dự kiến vào tuần 3 và một số lỗi kỹ thuật: người dùng phải đăng nhập vào trình duyệt để tham gia diễn đàn thảo luận - Tôi không thể sử dụng nó trên ứng dụng iPad hoặc iPhone của mình.,neutral,chuong_trinh_hoc
4866,Tôi cho nó 4 sao trên 5 vì cần phải cải thiện một số thứ xung quanh thời hạn dự kiến vào tuần 3 và một số lỗi kỹ thuật: người dùng phải đăng nhập vào trình duyệt để tham gia diễn đàn thảo luận - Tôi không thể sử dụng nó trên ứng dụng iPad hoặc iPhone của mình.,negative,noi_chung
4867,Theo như tôi nhớ thì khóa học Giới thiệu về Python của Tiến sĩ Chuck khóa học ban đầu ra mắt cách đây khoảng 3 đến 4 năm đã được chia thành hai.,positive,de_xuat
4868,Tuyệt vời khóa học.,positive,noi_chung
4869,"Không quan trọng nếu bạn mắc lỗi, gia sư sẽ hỗ trợ bạn và cung cấp mã nguồn trước và sau.",positive,ky_nang_giang_day
4870,Phong cách truyền đạt rõ ràng và đơn giản của ông về các khái niệm phức tạp với các ví dụ phù hợp đảm bảo rằng sinh viên nắm bắt được bản chất một cách dễ dàng và tự tin giải quyết các thuật toán phức tạp.,positive,ky_nang_giang_day
4870,Phong cách truyền đạt rõ ràng và đơn giản của ông về các khái niệm phức tạp với các ví dụ phù hợp đảm bảo rằng sinh viên nắm bắt được bản chất một cách dễ dàng và tự tin giải quyết các thuật toán phức tạp.,positive,kinh_nghiem
4871,Cảm ơn Coursera và Đại học bang Michigan đã mang đến cơ hội này.,positive,noi_chung
4872,Tôi đã học được rất nhiều trong chuyên ngành này và giờ đây tôi có tầm nhìn lớn hơn cho việc học tập trong tương lai và cho công ty khởi nghiệp của mình.,positive,noi_chung
4873,Tôi thực sự muốn giới thiệu khóa học này khóa học.,positive,de_xuat
4874,Cảm ơn bạn đã cung cấp khóa học này !,positive,noi_chung
4875,Khuyến khích mọi người muốn bắt đầu học Python hoặc lập trình nói chung!,positive,noi_chung
4876,"Nói cách khác, nó dạy bạn cách viết mã R hiệu quả, nhưng không dạy bạn cách viết mã R tốt.",positive,chuong_trinh_hoc
4877,Đây là một khóa học tuyệt vời để hiểu và học các nguyên lý của Học máy cũng như các phương pháp và thuật toán của nó.,positive,noi_chung
4877,Đây là một khóa học tuyệt vời để hiểu và học các nguyên lý của Học máy cũng như các phương pháp và thuật toán của nó.,positive,chuong_trinh_hoc
4878,HAI NGÓN TAY CÁI LÊN!,positive,chuong_trinh_hoc
4879,Cảm ơn Giáo sư Chuck và CTA.,positive,ky_nang_giang_day
4880,Cảm ơn bạn rất nhiều vì điều này Khóa học.,positive,noi_chung
4881,Giống như thiết kế đồ họa được thực hiện một cách dễ dàng.,positive,ky_nang_giang_day
4882,"Tuy nhiên, tôi đã mất rất nhiều thời gian để xem những video chưa hoàn thành  và cố gắng hoàn thành bài kiểm tra bao gồm những nội dung không được đề cập hoặc chỉ được đề cập một phần trong video.",negative,ky_nang_giang_day
4882,"Tuy nhiên, tôi đã mất rất nhiều thời gian để xem những video chưa hoàn thành  và cố gắng hoàn thành bài kiểm tra bao gồm những nội dung không được đề cập hoặc chỉ được đề cập một phần trong video.",negative,bai_tap
4883,Giảng viên dễ nghe.,positive,ky_nang_giang_day
4884,"Và sẽ tốt hơn nếu chúng ta có thể xem toàn bộ mã từ video, tuy nhiên trong bài giảng tuần 1 số chức năng đã bị chặn và tôi không chắc mình có tự làm đúng không.",negative,noi_chung
4885,"Thực sự tốt khóa học, tôi giới thiệu nó cho bất kỳ ai làm việc ở khu vực MENA với tư cách là nhà báo hoặc doanh nhân.",positive,de_xuat
4885,"Thực sự tốt khóa học, tôi giới thiệu nó cho bất kỳ ai làm việc ở khu vực MENA với tư cách là nhà báo hoặc doanh nhân.",positive,de_xuat
4886,Tôi thực sự đã học được rất nhiều từ khóa học này khóa học.,positive,noi_chung
4887,Andrew dành thời gian để giải thích rõ ràng các khái niệm.,neutral,ky_nang_giang_day
4888,Thực tế là tôi chưa bao giờ trải nghiệm được điều tuyệt vời như thế bài giảng!,positive,ky_nang_giang_day
4889,Tôi rất thích nó.,positive,noi_chung
4890,"Thật sự thú vị khóa học, tôi thực sự thích lớp học với Tiến sĩ Chuck vì ông ấy giải thích dễ hiểu các khái niệm khác nhau trong lập trình giúp các bài tập dễ giải quyết.",positive,noi_chung
4890,"Thật sự thú vị khóa học, tôi thực sự thích lớp học với Tiến sĩ Chuck vì ông ấy giải thích dễ hiểu các khái niệm khác nhau trong lập trình giúp các bài tập dễ giải quyết.",positive,ky_nang_giang_day
4890,"Thật sự thú vị khóa học, tôi thực sự thích lớp học với Tiến sĩ Chuck vì ông ấy giải thích dễ hiểu các khái niệm khác nhau trong lập trình giúp các bài tập dễ giải quyết.",positive,ky_nang_giang_day
4890,"Thật sự thú vị khóa học, tôi thực sự thích lớp học với Tiến sĩ Chuck vì ông ấy giải thích dễ hiểu các khái niệm khác nhau trong lập trình giúp các bài tập dễ giải quyết.",positive,ky_nang_giang_day
4891,"Tôi thích cách giải thích các vấn đề khác nhau, tôi thích đồ họa, video, câu đố - mọi thứ!",positive,chuong_trinh_hoc
4891,"Tôi thích cách giải thích các vấn đề khác nhau, tôi thích đồ họa, video, câu đố - mọi thứ!",positive,ky_nang_giang_day
4891,"Tôi thích cách giải thích các vấn đề khác nhau, tôi thích đồ họa, video, câu đố - mọi thứ!",positive,bai_tap
4892,Tôi thích giáo viên và các cuộc trò chuyện là bài luyện nghe tốt.,positive,ky_nang_giang_day
4893,Bài tập rất bổ ích và được giải thích rõ ràng bởi nhân viên trong Diễn đàn thảo luận Xin chân thành cảm ơn nhân viên và Đại học Michigan vì khóa học này.,positive,bai_tap
4893,Bài tập rất bổ ích và được giải thích rõ ràng bởi nhân viên trong Diễn đàn thảo luận Xin chân thành cảm ơn nhân viên và Đại học Michigan vì khóa học này.,positive,ky_nang_giang_day
4893,Bài tập rất bổ ích và được giải thích rõ ràng bởi nhân viên trong Diễn đàn thảo luận Xin chân thành cảm ơn nhân viên và Đại học Michigan vì khóa học này.,positive,hanh_vi
4894,Tôi cực kỳ không hài lòng và ước gì mình không phải trả tiền cho chuyên ngành này.,negative,noi_chung
4895,Tôi thực sự khuyên bạn nên dùng nó.,positive,noi_chung
4896,"Nó thậm chí còn không liên quan đến lĩnh vực nghiên cứu của tôi, nhưng giáo sư Murayama đã làm cho nó dễ hiểu đến mức như thể tôi đã học môn này cả đời vậy.",positive,ky_nang_giang_day
4897,"Rất hiểu biết giáo sư, nhưng dễ hiểu và dễ theo dõi.",positive,ky_nang_giang_day
4897,"Rất hiểu biết giáo sư, nhưng dễ hiểu và dễ theo dõi.",positive,ky_nang_giang_day
4898,lặp đi lặp lại. dài. quá hàn lâm. thuật ngữ không cần thiết.,negative,bai_tap
4898,lặp đi lặp lại. dài. quá hàn lâm. thuật ngữ không cần thiết.,negative,bai_tap
4899,Nó thực sự thay đổi cuộc sống khóa học!,positive,noi_chung
4900,Khóa học này có hai dự án lớn.,positive,chuong_trinh_hoc
4901,"Nếu bạn gặp khó khăn với môn Giải tích, bạn chắc chắn nên học khóa học này .",positive,de_xuat
4902,"Nhìn chung, trải nghiệm tuyệt vời.",positive,noi_chung
4903,Lần đầu tiên học lập trình khóa.,positive,noi_chung
4904,"Bản thân dự án tốt nghiệp khá đáng thất vọng, tôi đã học được nhiều hơn khi tự làm ứng dụng của mình ở lớp số 3.",negative,bai_tap
4905,"Nhưng người hướng dẫn không đưa ra mô tả ngắn gọn về nó là gì, thay vào đó chỉ nói rằng khi bạn không có câu hỏi rõ ràng trong đầu, bạn sẽ có nguy cơ bị đánh cắp dữ liệu.",negative,ky_nang_giang_day
4906,Thật sự không dễ dàng để tôi có thể hoàn thành những khóa học này trong lịch trình bận rộn nhưng tôi đã tìm thấy một số hiểu biết về ngôn ngữ máy tính thông qua khóa học này.,negative,noi_chung
4907,Nghiên cứu tình huống bài tập cuối cùng chắc chắn hữu ích trong việc suy nghĩ về một số số liệu được đề cập trong bốn tuần.,positive,bai_tap
4908,"Tôi thích sự kết hợp giữa kiến thức cơ bản và chi tiết, cùng với các chuyến đi thực tế đến LHC và tokamac.",positive,chuong_trinh_hoc
4909,Tôi mất 2 tuần (không phải 6 giờ như người hướng dẫn đề cập) để hoàn thành một nửa bài tập thứ hai bài tập và tôi sắp nói rằng tôi không học được gì về MongoDB.,negative,bai_tap
4910,Tôi đã tận hưởng từng phút của khóa học và khuyên những người khác cũng nên làm như vậy : ) kiến thức được truyền đạt ở đây có giá trị tối cao không chỉ đối với những người dạy tiếng Anh mà còn đối với bất kỳ giáo viên nào của bất kỳ môn học nào.,positive,noi_chung
4910,Tôi đã tận hưởng từng phút của khóa học và khuyên những người khác cũng nên làm như vậy : ) kiến thức được truyền đạt ở đây có giá trị tối cao không chỉ đối với những người dạy tiếng Anh mà còn đối với bất kỳ giáo viên nào của bất kỳ môn học nào.,positive,noi_chung
4910,Tôi đã tận hưởng từng phút của khóa học và khuyên những người khác cũng nên làm như vậy : ) kiến thức được truyền đạt ở đây có giá trị tối cao không chỉ đối với những người dạy tiếng Anh mà còn đối với bất kỳ giáo viên nào của bất kỳ môn học nào.,positive,ky_nang_giang_day
4911,"Đối với những người có kiến thức cần thiết về tất cả những điều đó, khóa học sẽ là sự lặp lại những kiến thức cơ bản.",positive,noi_chung
4912,Tôi ước họ có nhiều lớp học hơn lớp liên quan đến PP từ UVA.,negative,ky_nang_giang_day
4913,"Phàn nàn duy nhất của tôi là bài tập về nhà khá hạn chế (chỉ có một trò chơi một trang mỗi tuần, nghĩa là bạn chỉ có thể làm được một số việc nhất định) nhưng tôi đánh giá cao thực tế là nó đơn giản hóa mọi thứ và thậm chí thúc đẩy bạn sáng tạo hơn, vượt ra ngoài ""trò chơi trên bàn cờ"" thông thường.",negative,bai_tap
4914,Tốt khóa học cho người mới bắt đầu như tôi.,positive,noi_chung
4915,"Giáo sư Severance là một người hướng dẫn rất giỏi, người khiến những điều khó khăn trở nên dễ dàng.",positive,ky_nang_giang_day
4915,"Giáo sư Severance là một người hướng dẫn rất giỏi, người khiến những điều khó khăn trở nên dễ dàng.",positive,ky_nang_giang_day
4916,"Cảm ơn Giáo sư Randy, Đại học Norther và Coursera.",positive,ky_nang_giang_day
4917,Khóa học thật tuyệt vời.,positive,noi_chung
4918,"Vì vậy, tôi không thể tải ảnh lên cho lời nhắc cuối cùng.",negative,noi_chung
4919,Một khóa học hữu ích và thiết thực khóa học thú vị và hấp dẫn để thực hiện.,positive,noi_chung
