id,text,sentiment,aspect
12,DET PRODUKT ER PERFEKT TIL MINE BEHOV .,positive,food general
105,Sehr lecker.,positive,food quality
299,Ich liebte es!,positive,food general
1070,Tastes great !,positive,food quality
1277,Tastes good .,positive,food quality
1631,Muy bien !,positive,food general
1680,Este té estaba muy bueno.,positive,food general
1776,Me equivoqué .,negative,food general
1932,Pensé que estaba bien.,neutral,food general
1977,Después el café sabe bien.,neutral,food quality
2133,Buen café.,positive,food general
2167,No volveré a comprar esto.,negative,food general
2172,Me encanta mi Keurig.,positive,food general
2245,Definitivamente no volveré a recibir esto.,negative,food general
2308,¡Pruébalos!,positive,food recommendation
2365,Volveré a comprar .,positive,food recommendation
2373,Después de probar este cereal me quedé enganchado.,positive,food quality
2418,Nous avons essayé d'autres poudres et c'est certainement la meilleure pour nous.,positive,food general
2419,Il semble encore fraîchement cuit 3 jours plus tard.,positive,food general
2420,Cette marque et cette saveur étaient de loin les meilleures.,positive,food quality
2421,"Lors d'une activité intense, j'aime la façon dont il se dépose dans mon estomac avant les matchs et l'énergie qu'il me donne.",positive,food general
2422,"Je fais cela parfois pour voir combien de temps je peux tenir, mais le déplacer résout immédiatement toute « brûlure » ou autre et c'est assez agréable de l'étaler dans la bouche.",positive,food general
2423,Nouveau produit pour notre maison .,positive,food general
2424,C'est l'un de mes plats préférés plats et le souvenir le plus durable que j'ai du Brésil.,positive,food general
2425,"Nous adorons ce thé glacé thé, agréable saveur de réglisse.",positive,food general
2425,"Nous adorons ce thé glacé thé, agréable saveur de réglisse.",positive,food quality
2426,"C'est tout simplement superbe, absolument paradisiaque dans n'importe quelle recette qui nécessite une forte saveur d'amande.",positive,food general
2426,"C'est tout simplement superbe, absolument paradisiaque dans n'importe quelle recette qui nécessite une forte saveur d'amande.",positive,food quality
2427,Tout simplement paradisiaque.,positive,food general
2428,Ce café café prépare une belle torréfaction moyenne avec des notes florales et de baies exotiques.,positive,food quality
2429,Très bien !,positive,food general
2430,Il est délicieusement salé et croquant.,positive,food quality
2431,Hautement recommandé !,positive,food recommendation
2432,Mon chien est fou de ceux-là bâtons !,positive,food quality
2433,"J'adore Silk Very Vanilla Soymilk dans les grands cartons, et j'étais si heureuse lorsque je parcourais Amazon et que je suis tombée sur ces contenants individuels de 8 onces",positive,food general
2434,"J'ai écrit Amazon et ils m'ont donné un remboursement rapide, donc leur service client est excellent. Nous avons depuis ouvert d'autres sacs et ils ne semblent pas aussi rassis, mais je ne crois toujours pas qu'ils aient un goût aussi frais que ceux de l'épicerie.",positive,food general
2434,"J'ai écrit Amazon et ils m'ont donné un remboursement rapide, donc leur service client est excellent. Nous avons depuis ouvert d'autres sacs et ils ne semblent pas aussi rassis, mais je ne crois toujours pas qu'ils aient un goût aussi frais que ceux de l'épicerie.",positive,food quality
2435,Peut-être même un peu meilleur que les bretzels ordinaires.,positive,food general
2436,"De loin, mon mélange montagnard préféré.",positive,food general
2437,Génial produit .,positive,food general
2438,Je commence chaque journée avec une tasse de chocolat chaud.,positive,food general
2439,"Ils adorent tous les trois cette nourriture, qui est assez nutritive pour eux et ne contient aucun sous-produit animal.",positive,food general
2439,"Ils adorent tous les trois cette nourriture, qui est assez nutritive pour eux et ne contient aucun sous-produit animal.",positive,food quality
2441,"Le café était bon, il n'avait tout simplement pas la saveur à laquelle je m'attendais.",positive,food general
2441,"Le café était bon, il n'avait tout simplement pas la saveur à laquelle je m'attendais.",neutral,food quality
2442,J'aime l'eau contenue plutôt que le côté gluant de l'huile.,positive,food quality
2443,Ils sont le meilleur des deux mondes et durent longtemps avec beaucoup de saveur !,positive,food quality
2444,"Je n'arrive jamais à m'en approcher autant, car j'obtiens généralement ma dose vers 20 heures.",positive,food general
2445,Les autres saveurs sont tout aussi bonnes !),positive,food quality
2446,"C'est agréablement doux, mais pas excessivement.",positive,food quality
2447,C'est aussi un excellent sel de finition pour les viandes !,positive,food general
2448,J'ai fait mon café de la manière habituelle mais il n'était pas assez fort.,positive,food general
2449,"Je n'ai pas été fan du café Keurig, en raison de la nature faible de l'infusion.",negative,food quality
2450,"L'hypothèse habituelle est que la catégorie A est meilleure que la catégorie B, mais contrairement aux œufs ou à la viande, la catégorie fait référence au moment où le sirop est récolté, la catégorie B étant la plus intensément parfumée.",positive,food quality
2451,Ils sont arrivés rapidement en parfait état et j'ai vraiment apprécié chaque bouchée !,positive,food general
2452,"Je suis sûr que cela ressemble plus à 75 % de poire avec une touche de légumes, mais c'est mieux que rien.",positive,food quality
2453,J'adore le fait que la barre  soit douce et moelleuse.,positive,food general
2453,J'adore le fait que la barre  soit douce et moelleuse.,positive,food style_options
2454,Je n'ai aucune idée de comment comparer cela aux autres marques en termes de prix car il n'est pas vendu dans mon état.,neutral,food prices
2455,"Bon café et c'est un produit du commerce équitable, vous pouvez donc vous sentir encore plus bien en inhalant le parfum et les saveurs complexes mais simples tout en sachant que vous avez aidé la terre et les gens qui y vivent un peu à votre petite manière.",positive,food quality
2455,"Bon café et c'est un produit du commerce équitable, vous pouvez donc vous sentir encore plus bien en inhalant le parfum et les saveurs complexes mais simples tout en sachant que vous avez aidé la terre et les gens qui y vivent un peu à votre petite manière.",positive,food general
2456,Ce thé est délicieusement épicé !,positive,food quality
2457,Je n'ai pas du tout aimé ça le café.,negative,food general
2458,J'ai été déçu par le goût et j'ai fait moi-même un meilleur thé en ajoutant une goutte d'arôme de bonbon à l'anis au thé vert.,negative,food quality
2459,"Je ne suis pas convaincu que la culture se fera sans la présence de lactose, mais apparemment, ce sera le cas.",positive,food general
2460,Cela donne une tasse copieuse sans arrière-goût amer.,positive,food quality
2461,J'aime réutiliser et ne pas gaspiller et à cet égard le produit My - Kap est un bon produit pour un prix bas.,positive,food general
2461,J'aime réutiliser et ne pas gaspiller et à cet égard le produit My - Kap est un bon produit pour un prix bas.,positive,food prices
2462,"A éviter si possible, mais pas un gaspillage total.",negative,food recommendation
2462,"A éviter si possible, mais pas un gaspillage total.",neutral,food general
2463,Cela fonctionne parfaitement.,positive,food quality
2465,"Le sac était plus petit que ce à quoi je m'attendais, mais c'est probablement juste moi qui suis mauvais pour estimer les choses.",negative,food style_options
2466,"Nous sommes tous les deux de grands fans de café aux noisettes pour commencer, donc c'était parfait.",positive,food general
2467,Alors essayez ces délicieuses bouchées au fromage aujourd'hui ! : ),positive,food quality
2468,J'ai découvert que c'était aussi la meilleure façon de les obtenir.,positive,food general
2469,Le fait qu'ils soient biologiques et sucrés avec du jus de canne naturel plutôt qu'avec du sucre ajouté comme le type de marque d'épicerie les rend encore meilleurs.,positive,food quality
2470,"Le goût du rooibos brut, sans ces « améliorations » comme la vanille, est corsé et possède son propre goût unique.",positive,food quality
2471,"Le produit est juste correct, mais le fait d'être harcelé pour laisser des avis / commentaires empêche même un avis trois étoiles.",neutral,food general
2472,"Il s'agit uniquement de citrate de magnésium de 325 mg, et c'est vraiment acidulé !!",negative,food quality
2473,Je pense cependant qu'il y en a d'autres qui apprécieraient un café léger.,neutral,food general
2474,Il est idéal pour les cupcakes ou les gâteaux standards ; et il est amusant d'ajouter des fruits dessus comme des fraises.,positive,food style_options
2475,Ceux-ci ne sont pas très chauds.,negative,food quality
2476,Cet achat était fade et n'avait aucune saveur.,negative,food quality
2477,Et leurs produits sont fantastiques.,positive,food general
2478,Un produit d'excellente qualité  qui fonctionne comme annoncé - merci de l'avoir créé !!,positive,food quality
2479,Ce thé était très bon.,positive,food general
2480,"J'ai trouvé que c'était une tasse de café exceptionnellement savoureuse, comparable à celle du café préparé dans une cafetière.",positive,food quality
2481,J'aime tellement la saveur,positive,food quality
2482,"Nous les adorons les cerises, je les achète depuis quelques années.",positive,food general
2483,"Je ne suis pas un grand buveur de café, mais cette marque Wolfgang Vienna est bonne.",positive,food general
2484,Le fait qu'ils soient biologiques et fabriqués à partir d'épeautre est également un gros plus.,positive,food quality
2485,"Je reçois des saveurs variées, et il n'y en a pas une qui ne soit pas inhalée.",positive,food quality
2486,C'est idéal qu'ils soient livrés dans un pack de 12.,positive,food style_options
2487,C'est juste un produit de qualité supérieure .,positive,food quality
2488,Délicieux sauce barbecue.,positive,food quality
2489,"Si vous aimez avoir orgasme buccal après orgasme buccal, vous tomberez amoureux de Hello Pandas.",positive,food general
2490,Pépites de chocolat et huile de coco fondues ensemble puis congelées dans des bacs à glaçons.,positive,food style_options
2491,"Le matcha en dessous prend définitivement une saveur terreuse, et je ne peux m'empêcher de me demander si le piquant ne vient pas au moins en partie du matcha que l'arôme de pistache met simplement au premier plan.",positive,food quality
2492,La quantité que j'ai mangée dans une autre boîte était beaucoup trop salée à mon goût et représente plus de la moitié de ma limite personnelle de 1 500 mg de sodium par jour.,negative,food quality
2493,Pas honnête envers leurs clients.,negative,food general
2494,L'association des raisins secs et du chocolat noir est merveilleuse !,positive,food quality
2496,"Je crois qu'il a un effet diurétique et peut-être laxatif, et il est censé être bon pour le foie.",positive,food general
2497,Je vais vous dire comment j'aime le gâteau aux fruits Claxton.,positive,food general
2498,Je suis heureux .,positive,food general
2499,Je viens de manger la dernière boîte.,positive,food general
2500,Les noix de cajou étaient grosses et très peu cassées.,positive,food style_options
2501,Absolument dégoûtant !,negative,food general
2502,MAIS . . . . . . au tarif actuel (9 avril 2010) de 7 $.,neutral,food prices
2503,Tous ceux qui ont essayé cela ont été impressionnés par la saveur.,positive,food general
2504,Très savoureux.,positive,food quality
2505,Ils sont joliment assaisonnés avec beaucoup de poivre noir.,positive,food quality
2506,J'aime aussi le fait qu'ils semblent fondre dans sa bouche assez rapidement.,positive,food general
2507,Les deux meilleurs cafés du monde (à mon humble avis) sont Kona et le Blue Mountain jamaïcain.,positive,food quality
