text,aspect,entity,attribute,aspect_label,sentiment,language,split
Simpelthen fantastisk!,Curriculum,,course general,5,positive,de,train
Fremragende!,Curriculum,,course general,5,positive,de,train
Kan varmt anbefales!,Curriculum,,course general,5,positive,de,train
Utroligt!,Curriculum,,course general,5,positive,de,train
Fremragende.,Curriculum,,course general,5,positive,de,train
"Es bot großartige „Laienratschläge“, die allerdings kaum oder gar keine Forschungsgrundlage boten.",Teaching_Skill,,presentation quality,0,negative,de,train
Vielen Dank an alle Autoren für dieses wunderbare Material.,Materials,Material,material quality,6,positive,de,train
"Ich empfehle es jedem, der sich für dieses Gebiet interessiert.",Recommendation,,course general,14,positive,de,train
Die Einführungssitzung war sehr repetitiv.,Teaching_Skill,,presentation quality,0,negative,de,train
Es hat mir eine völlig andere Perspektive für das Lernen und Lehren von Englisch eröffnet. . .,Curriculum,,course general,5,positive,de,train
"Ich fand auch, dass die abschließenden Anweisungen Aufgabe etwas verwirrend waren.",Assignments,Aufgabe,assignments comprehensiveness,8,negative,de,train
Das war ein hervorragender Kurs.,Curriculum,Kurs,course general,5,positive,de,train
"Noch wichtiger ist, dass mir dieser Kurs jetzt das Vertrauen gegeben hat, dass ich mit einer Lerneinstellung alles lernen kann, auch wenn ich kein Talent/Interesse dafür habe.",Curriculum,Kurs,course relatability,5,positive,de,train
"Ich habe all dies gemeldet und nicht eine einzige Antwort erhalten, vielleicht weil ich kein zahlender Kunde bin.",Support,,faculty response,4,negative,de,train
"Jeder, der diesen Kurs absolviert hat, wird lebenslang davon profitieren.",Curriculum,Kurs,course general,5,positive,de,train
Dies ist eine großartige Einführung in einen formaleren Ansatz für Algorithmen und ich freue mich auf die restlichen Kurse in dieser Spezialisierung.,Curriculum,,course general,5,positive,de,train
Ich freue mich auf den nächsten Teil dieses Kurses.,Curriculum,Kurses,course general,5,positive,de,train
Ich werde diesen Kurs auf jeden Fall meinen Freunden und meiner Familie empfehlen.,Recommendation,Kurs,course general,14,positive,de,train
"Dies ist lediglich ein Starterkurs Kurs, der Sie mit den Grundlagen von ML mit Python vertraut macht.",Curriculum,Kurs,course quality,5,negative,de,train
Einziger Kritikpunkt ist die Ausgestaltung des Feedbacks und der Kritik.,Support,,faculty response,4,negative,de,train
Die Ergebnisse werden sehr nützlich sein.,Grading,,grades general,9,positive,de,train
Ich bin mit dem Kurs sehr zufrieden und hätte gern einen Kurs „Koreanisch sprechen lernen 2“!,Curriculum,Kurs,course general,5,positive,de,train
Es ist ein sehr gut strukturierter und effektiver Kurs.,Curriculum,Kurs,course quality,5,positive,de,train
"Ansonsten: super Kurs, super Dozent und super Inhalt!",Materials,Inhalt,material quality,6,positive,de,train
"Ansonsten: super Kurs, super Dozent und super Inhalt!",Teaching_Skill,Dozent,faculty general,0,positive,de,train
"Ansonsten: super Kurs, super Dozent und super Inhalt!",Curriculum,Kurs,course general,5,positive,de,train
"Es war ein sehr interessanter Kurs, allerdings war er durch die Einschlüsse eher auf die spanische Geschichte ausgerichtet.",Curriculum,Kurs,course general,5,positive,de,train
"Normalerweise mag ich Kurse mit einem starken wissenschaftlichen Schwerpunkt, aber dieser Kurs war für Personen mit mittlerem Niveau oder ohne wissenschaftlichen Hintergrund gut geeignet.",Teaching_Skill,,presentation comprehensiveness,0,positive,de,train
Tolle Klasse.,Curriculum,,course general,5,positive,de,train
Es ist ein guter Kurs und die Inhalte sind sehr hilfreich.,Curriculum,Kurs,course general,5,positive,de,train
Es ist ein guter Kurs und die Inhalte sind sehr hilfreich.,Materials,Inhalte,material quality,6,positive,de,train
Es war in gewisser Weise herausfordernd und SEHR interessant.,Curriculum,,course general,5,positive,de,train
"Ausgezeichnet Vorlesungen, enttäuscht durch die Schwierigkeit der Aufgaben.",Teaching_Skill,Vorlesungen,presentation quality,0,positive,de,train
"Ausgezeichnet Vorlesungen, enttäuscht durch die Schwierigkeit der Aufgaben.",Assignments,Aufgaben,assignments quality,8,positive,de,train
Dieser Kurs inspiriert mich sehr.,Curriculum,Kurs,course general,5,positive,de,train
"Die Art und Weise, wie das Thema angesprochen wird, ist klar, direkt und leicht verständlich.",Curriculum,,course comprehensiveness,5,positive,de,train
"Im Allgemeinen ist der Kurs sehr informativ, umfassend, anleitungsbasiert und enthält sehr gute Übungen, die alle  Kurs Inhalte abdecken und einen guten Einstieg in die Praxis bieten.",Curriculum,Kurs,course quality,5,positive,de,train
"Im Allgemeinen ist der Kurs sehr informativ, umfassend, anleitungsbasiert und enthält sehr gute Übungen, die alle  Kurs Inhalte abdecken und einen guten Einstieg in die Praxis bieten.",Assignments,,assignments quality,8,positive,de,train
"Im Allgemeinen ist der Kurs sehr informativ, umfassend, anleitungsbasiert und enthält sehr gute Übungen, die alle  Kurs Inhalte abdecken und einen guten Einstieg in die Praxis bieten.",Teaching_Skill,Kurs,presentation quality,0,positive,de,train
"Ich würde diesen Kurs empfehlen, hoffe aber, dass die Kurs Administratoren dieses Feedback aufgreifen und die Aufgaben in Zukunft klarer gestalten.",Recommendation,Kurs,course general,14,positive,de,train
"Wenn Sie Literatur aus dem psychologischen oder medizinischen Bereich interpretieren, ist dies eine großartige Ressource.",Curriculum,,course general,5,positive,de,train
Ich hatte viel Spaß und habe viel gelernt.,Curriculum,,course quality,5,positive,de,train
