id,text,sentiment,aspect
0,Bare helt himmelsk.,positive,food general
1,Min kat elsker Fancy Feast kattefoder.,positive,food general
9,Elsker dem.,positive,food general
10,Mit barn ELSKER disse! !,positive,food general
11,Bagefter smager kaffen ok.,neutral,food quality
13,Skuffet.,negative,food general
14,Ingen bismag eftersmag.,positive,food quality
16,Marmite endnu bedre!,positive,food quality
17,Grade A Medium Amber fra Hidden Springs Maple Vermont er simpelthen fantastisk.,positive,food quality
18,Wir haben andere Pulver probiert und dieses ist für uns sicherlich das Beste.,positive,food general
19,Auch nach 3 Tagen sieht es noch aus wie frisch gekocht.,positive,food general
20,Diese Marke und dieser Geschmack waren bei weitem die besten.,positive,food quality
21,"Bei körperlicher Anstrengung gefällt mir, wie es sich vor Spielen in meinem Magen ausbreitet und welche Energie es mir gibt.",positive,food general
22,"Ich mache das manchmal, um zu sehen, wie lange ich durchhalte, aber durch Hin- und Herbewegen löst es jedes „Brennen“ oder ähnliches sofort und es verteilt sich sehr angenehm im Mund.",positive,food general
23,Neu Produkt für unser Haus.,positive,food general
24,Das ist eines meiner absoluten Lieblingsgerichte Gerichte und meine bleibende Erinnerung an Brasilien.,positive,food general
25,"Wir lieben diesen Tee eisgekühlten, schönen Lakritzgeschmack.",positive,food general
25,"Wir lieben diesen Tee eisgekühlten, schönen Lakritzgeschmack.",positive,food quality
26,"Das ist einfach großartig, absolut himmlisch in jedem Rezept, das einen starken Mandelgeschmack erfordert.",positive,food general
26,"Das ist einfach großartig, absolut himmlisch in jedem Rezept, das einen starken Mandelgeschmack erfordert.",positive,food quality
27,Einfach himmlisch.,positive,food general
28,Dieser Kaffee ergibt eine schöne mittlere Röstung mit exotischen Blumen- und Beerennoten.,positive,food quality
29,Sehr gut !,positive,food general
30,Es ist herrlich salzig und knusprig.,positive,food quality
31,Sehr empfehlenswert!,positive,food recommendation
32,Mein Hund ist verrückt nach diesen Stöcken!,positive,food quality
33,"Ich liebe Silk Very Vanilla Soymilk in den großen Kartons, und ich war so glücklich, als ich durch Amazon stöberte und auf diese einzelnen 8-Unzen-Behälter stieß",positive,food general
34,"Ich habe geschrieben Amazon und sie haben mir umgehend das Geld zurückerstattet, ihr Kundenservice ist also ausgezeichnet. Wir haben seitdem weitere Tüten geöffnet und sie scheinen nicht mehr so abgestanden zu sein, aber ich glaube immer noch nicht, dass sie so frisch schmecken wie die aus dem Supermarkt.",positive,food general
34,"Ich habe geschrieben Amazon und sie haben mir umgehend das Geld zurückerstattet, ihr Kundenservice ist also ausgezeichnet. Wir haben seitdem weitere Tüten geöffnet und sie scheinen nicht mehr so abgestanden zu sein, aber ich glaube immer noch nicht, dass sie so frisch schmecken wie die aus dem Supermarkt.",positive,food quality
35,Vielleicht sogar ein bisschen besser als normale Brezeln.,positive,food general
36,Bei weitem mein liebstes Studentenfutter.,positive,food general
37,Großartig Produkt.,positive,food general
38,Ich beginne jeden Tag mit einer Tasse heißer Schokolade.,positive,food general
39,"Alle drei lieben dieses Futter, es ist sehr nahrhaft für sie und enthält keine tierischen Nebenprodukte.",positive,food general
39,"Alle drei lieben dieses Futter, es ist sehr nahrhaft für sie und enthält keine tierischen Nebenprodukte.",positive,food quality
40,Einfach schrecklich.,negative,food general
41,"Der Kaffee war gut, er hatte nur nicht den Geschmack, den ich erwartet hatte.",positive,food general
41,"Der Kaffee war gut, er hatte nur nicht den Geschmack, den ich erwartet hatte.",neutral,food quality
42,Ich mag das Wasser lieber als das klebrige Öl.,positive,food quality
43,"Sie vereinen das Beste aus beiden Welten, sind lange haltbar und haben viel Geschmack!",positive,food quality
44,"Ich komme allerdings nie auch nur annähernd an so viele heran, da ich meinen Fix normalerweise nach etwa 20 bekomme.",positive,food general
45,Die anderen Geschmacksrichtungen sind aber auch genauso gut !),positive,food quality
46,"Es ist angenehm, aber nicht zu süß.",positive,food quality
47,Es eignet sich auch hervorragend als Finishing-Salz für Fleisch!,positive,food general
48,"Ich habe meinen Kaffee wie gewohnt zubereitet, aber er war nicht stark genug.",positive,food general
49,"Ich bin kein Fan von Keurig-Kaffee, da das gebrühte Produkt zu schwach ist.",negative,food quality
50,"Normalerweise wird angenommen, dass Klasse A besser ist als Klasse B. Anders als bei Eiern oder Fleisch bezieht sich die Klasse jedoch auf den Zeitpunkt der Sirupernte, wobei Klasse B den intensiveren Geschmack aufweist.",positive,food quality
51,Sie kamen schnell und in perfektem Zustand an und ich habe wirklich jeden Bissen genossen!,positive,food general
52,"Ich bin sicher, dass es eher 75 % Birne mit einer Prise Gemüse sind, aber es ist besser als nichts.",positive,food quality
53,"Ich liebe es, dass der Riegel weich und zäh war.",positive,food general
53,"Ich liebe es, dass der Riegel weich und zäh war.",positive,food style_options
54,"Ich weiß nicht, wie ich es preislich mit anderen Marken vergleichen soll, weil es in meinem Staat nicht verkauft wird.",neutral,food prices
55,"Gut Kaffee und es ist ein Fair-Trade-Produkt, sodass Sie sich besonders gut fühlen, wenn Sie den Duft und die komplexen, aber einfachen Aromen einatmen und dennoch wissen, dass Sie der Erde und den Menschen auf ihr auf Ihre kleine Art und Weise ein wenig geholfen haben.",positive,food quality
55,"Gut Kaffee und es ist ein Fair-Trade-Produkt, sodass Sie sich besonders gut fühlen, wenn Sie den Duft und die komplexen, aber einfachen Aromen einatmen und dennoch wissen, dass Sie der Erde und den Menschen auf ihr auf Ihre kleine Art und Weise ein wenig geholfen haben.",positive,food general
56,Dieser Tee ist herrlich gewürzt!,positive,food quality
57,Das Kaffee hat mir überhaupt nicht geschmeckt.,negative,food general
58,"Ich war vom Geschmack enttäuscht und habe mir selbst besseren Tee gemacht, indem ich dem grünen Tee einen Tropfen Anis-Bonbon-Aroma hinzugefügt habe.",negative,food quality
59,"Ich bin nicht davon überzeugt, dass eine Kultur auch ohne Laktose möglich ist, aber angeblich ist es so.",positive,food general
60,Das Ergebnis ist eine herzhafte Tasse ohne bitteren Nachgeschmack.,positive,food quality
61,"Ich verwende gern wieder, statt etwas wegzuwerfen, und in dieser Hinsicht ist das Produkt My - Kap für einen niedrigen Preis gut.",positive,food general
61,"Ich verwende gern wieder, statt etwas wegzuwerfen, und in dieser Hinsicht ist das Produkt My - Kap für einen niedrigen Preis gut.",positive,food prices
62,"Vermeiden Sie es, wenn möglich, aber es ist keine völlige Verschwendung.",negative,food recommendation
62,"Vermeiden Sie es, wenn möglich, aber es ist keine völlige Verschwendung.",neutral,food general
63,Es funktioniert perfekt.,positive,food quality
64,Meine Katze liebt Fancy Feast Katzenfutter.,positive,food general
65,"Die Tasche war kleiner als erwartet, aber das liegt wahrscheinlich nur daran, dass ich Dinge nicht gut einschätzen kann.",negative,food style_options
66,Von allen anderen warmen Müslis von Bob’s Red Mill ist dieses mein Favorit.,positive,food general
67,"Wir sind beide große Fans von Haselnusskaffee, also war das perfekt.",positive,food general
68,Probieren Sie also diese leckeren Käsehäppchen noch heute! : ),positive,food quality
69,Tolles Angebot für die Qualität davon Himalaya-Salz!,positive,food quality
69,Tolles Angebot für die Qualität davon Himalaya-Salz!,positive,food prices
70,"Ich bin der Meinung, dass dies auch der beste Weg ist, sie zu erhalten.",positive,food general
71,"Die Tatsache, dass sie biologisch angebaut und mit natürlichem Zuckerrohrsaft gesüßt sind, statt mit zugesetztem Zucker wie die Markenprodukte aus dem Supermarkt, macht sie sogar noch besser.",positive,food quality
