id,text,sentiment,aspect
4,"Er en ""suppet"" ost & nudler.",negative,am_thuc
523,Wir lieben es.,positive,am_thuc
891,Delicious bbq sauce .,positive,am_thuc
1036,These are delicious !,positive,am_thuc
1255,Delicious !,positive,am_thuc
1402,Just overall delicious .,positive,am_thuc
1422,No artificial stuff .,positive,am_thuc
1620,Hemos probado otros polvos y este es sin duda el mejor para nosotros.,positive,am_thuc
1621,Todavía parece recién cocinado 3 días después.,positive,am_thuc
1622,Esta marca y sabor fue por lejos el mejor.,positive,am_thuc
1623,"Durante la actividad intensa, me gusta la forma en que se asienta en mi estómago antes de los juegos y la energía que me da.",positive,am_thuc
1624,"A veces hago esto para ver cuánto tiempo puedo durar, pero moverlo resuelve cualquier 'ardor' o cualquier cosa inmediatamente y es bastante placentero esparcirlo por la boca.",positive,am_thuc
1625,Nuevo producto para nuestra casa.,positive,am_thuc
1626,Esta es una de mis comidas favoritas de todas y el recuerdo más persistente que tengo de Brasil.,positive,am_thuc
1628,"Esto es simplemente magnífico, absolutamente celestial en cualquier receta que requiera un fuerte sabor a almendra.",positive,am_thuc
1629,Simplemente absolutamente celestial.,positive,am_thuc
1630,Este café produce un agradable tueste medio con exóticas notas florales y de bayas.,positive,am_thuc
1632,Es deliciosamente salado y crujiente.,positive,am_thuc
1633,¡A mi perro le vuelven locos estos palitos!,positive,am_thuc
1634,"Me encanta Silk Very Vanilla Soymilk en los envases grandes, y me puse muy feliz cuando estaba navegando por Amazon y encontré estos envases individuales de 8 onzas.",positive,am_thuc
1635,"Le escribí a Amazon y me devolvieron el dinero rápidamente, por lo que su servicio al cliente es excelente. Desde entonces hemos abierto algunas bolsas más y no parecen tan rancias, pero todavía no creo que tengan un sabor tan fresco como las del supermercado.",positive,am_thuc
1636,Quizás incluso un poco mejor que los pretzels normales.,positive,am_thuc
1637,"De lejos, mi mezcla de frutos secos favorita.",positive,am_thuc
1638,Empiezo cada día con una taza de chocolate caliente.,positive,am_thuc
1639,"A los tres les encanta esta comida, es bastante nutritiva para ellos y no contiene subproductos animales.",positive,am_thuc
1640,Absolutamente horrible .,negative,am_thuc
1641,"El café estaba bueno, simplemente no tenía el sabor que esperaba.",positive,am_thuc
1641,"El café estaba bueno, simplemente no tenía el sabor que esperaba.",neutral,am_thuc
1642,Me encanta el agua envasada en lugar de la consistencia pegajosa del aceite.,positive,am_thuc
1643,¡Son lo mejor de ambos mundos y duran mucho tiempo con mucho sabor!,positive,am_thuc
1644,"Nunca llego ni siquiera cerca de esa cantidad, ya que normalmente obtengo mi dosis en alrededor de 20.",positive,am_thuc
1645,¡Los otros sabores también son igualmente buenos! ),positive,am_thuc
1646,"Es agradablemente dulce, pero no excesivamente dulce.",positive,am_thuc
1647,¡También es una excelente sal de acabado para las carnes!,positive,am_thuc
1648,Preparé mi café  de la manera habitual pero no fue lo suficientemente fuerte.,positive,am_thuc
1649,"""No he sido fanático del café Keurig, debido a la naturaleza débil de la bebida"".",negative,am_thuc
1650,"La suposición habitual es que el grado A es mejor que el grado B, pero a diferencia de los huevos o la carne, el grado se refiere a cuándo se cosecha el jarabe, siendo el grado B el que tiene un sabor más intenso.",positive,am_thuc
1651,¡Llegaron rápidamente en perfectas condiciones y realmente disfruté cada bocado!,positive,am_thuc
