id,text,sentiment,aspect
12,DET PRODUKT ER PERFEKT TIL MINE BEHOV .,positive,am_thuc
105,Sehr lecker.,positive,am_thuc
299,Ich liebte es!,positive,am_thuc
1070,Tastes great !,positive,am_thuc
1277,Tastes good .,positive,am_thuc
1631,Muy bien !,positive,am_thuc
1680,Este té estaba muy bueno.,positive,am_thuc
1776,Me equivoqué .,negative,am_thuc
1932,Pensé que estaba bien.,neutral,am_thuc
1977,Después el café sabe bien.,neutral,am_thuc
2133,Buen café.,positive,am_thuc
2167,No volveré a comprar esto.,negative,am_thuc
2172,Me encanta mi Keurig.,positive,am_thuc
2245,Definitivamente no volveré a recibir esto.,negative,am_thuc
2308,¡Pruébalos!,positive,noi_chung
2365,Volveré a comprar .,positive,noi_chung
2373,Después de probar este cereal me quedé enganchado.,positive,am_thuc
2418,Nous avons essayé d'autres poudres et c'est certainement la meilleure pour nous.,positive,am_thuc
2419,Il semble encore fraîchement cuit 3 jours plus tard.,positive,am_thuc
2420,Cette marque et cette saveur étaient de loin les meilleures.,positive,am_thuc
2421,"Lors d'une activité intense, j'aime la façon dont il se dépose dans mon estomac avant les matchs et l'énergie qu'il me donne.",positive,am_thuc
2422,"Je fais cela parfois pour voir combien de temps je peux tenir, mais le déplacer résout immédiatement toute « brûlure » ou autre et c'est assez agréable de l'étaler dans la bouche.",positive,am_thuc
2423,Nouveau produit pour notre maison .,positive,am_thuc
2424,C'est l'un de mes plats préférés plats et le souvenir le plus durable que j'ai du Brésil.,positive,am_thuc
2425,"Nous adorons ce thé glacé thé, agréable saveur de réglisse.",positive,am_thuc
2426,"C'est tout simplement superbe, absolument paradisiaque dans n'importe quelle recette qui nécessite une forte saveur d'amande.",positive,am_thuc
2427,Tout simplement paradisiaque.,positive,am_thuc
2428,Ce café café prépare une belle torréfaction moyenne avec des notes florales et de baies exotiques.,positive,am_thuc
2429,Très bien !,positive,am_thuc
2430,Il est délicieusement salé et croquant.,positive,am_thuc
2431,Hautement recommandé !,positive,noi_chung
2432,Mon chien est fou de ceux-là bâtons !,positive,am_thuc
2433,"J'adore Silk Very Vanilla Soymilk dans les grands cartons, et j'étais si heureuse lorsque je parcourais Amazon et que je suis tombée sur ces contenants individuels de 8 onces",positive,am_thuc
2434,"J'ai écrit Amazon et ils m'ont donné un remboursement rapide, donc leur service client est excellent. Nous avons depuis ouvert d'autres sacs et ils ne semblent pas aussi rassis, mais je ne crois toujours pas qu'ils aient un goût aussi frais que ceux de l'épicerie.",positive,am_thuc
2435,Peut-être même un peu meilleur que les bretzels ordinaires.,positive,am_thuc
2436,"De loin, mon mélange montagnard préféré.",positive,am_thuc
2437,Génial produit .,positive,am_thuc
2438,Je commence chaque journée avec une tasse de chocolat chaud.,positive,am_thuc
2439,"Ils adorent tous les trois cette nourriture, qui est assez nutritive pour eux et ne contient aucun sous-produit animal.",positive,am_thuc
2441,"Le café était bon, il n'avait tout simplement pas la saveur à laquelle je m'attendais.",positive,am_thuc
2441,"Le café était bon, il n'avait tout simplement pas la saveur à laquelle je m'attendais.",neutral,am_thuc
2442,J'aime l'eau contenue plutôt que le côté gluant de l'huile.,positive,am_thuc
2443,Ils sont le meilleur des deux mondes et durent longtemps avec beaucoup de saveur !,positive,am_thuc
2444,"Je n'arrive jamais à m'en approcher autant, car j'obtiens généralement ma dose vers 20 heures.",positive,am_thuc
2445,Les autres saveurs sont tout aussi bonnes !),positive,am_thuc
2446,"C'est agréablement doux, mais pas excessivement.",positive,am_thuc
2447,C'est aussi un excellent sel de finition pour les viandes !,positive,am_thuc
2448,J'ai fait mon café de la manière habituelle mais il n'était pas assez fort.,positive,am_thuc
2449,"Je n'ai pas été fan du café Keurig, en raison de la nature faible de l'infusion.",negative,am_thuc
2450,"L'hypothèse habituelle est que la catégorie A est meilleure que la catégorie B, mais contrairement aux œufs ou à la viande, la catégorie fait référence au moment où le sirop est récolté, la catégorie B étant la plus intensément parfumée.",positive,am_thuc
2451,Ils sont arrivés rapidement en parfait état et j'ai vraiment apprécié chaque bouchée !,positive,am_thuc
2452,"Je suis sûr que cela ressemble plus à 75 % de poire avec une touche de légumes, mais c'est mieux que rien.",positive,am_thuc
2453,J'adore le fait que la barre  soit douce et moelleuse.,positive,am_thuc
2454,Je n'ai aucune idée de comment comparer cela aux autres marques en termes de prix car il n'est pas vendu dans mon état.,neutral,gia_ca
2455,"Bon café et c'est un produit du commerce équitable, vous pouvez donc vous sentir encore plus bien en inhalant le parfum et les saveurs complexes mais simples tout en sachant que vous avez aidé la terre et les gens qui y vivent un peu à votre petite manière.",positive,am_thuc
2456,Ce thé est délicieusement épicé !,positive,am_thuc
2457,Je n'ai pas du tout aimé ça le café.,negative,am_thuc
2458,J'ai été déçu par le goût et j'ai fait moi-même un meilleur thé en ajoutant une goutte d'arôme de bonbon à l'anis au thé vert.,negative,am_thuc
