id,text,sentiment,aspect
143,Danke Prof. Dan!,positive,ky_nang_giang_day
1680,Great examples .,positive,chuong_trinh_hoc
2098,Disfruté esta clase.,positive,noi_chung
2110,¡Qué gran profesor!,positive,ky_nang_giang_day
2826,Il a fourni d'excellents « conseils profanes » avec peu ou pas de base de recherche.,negative,ky_nang_giang_day
2827,Merci à tous les auteurs pour un si merveilleux matériel.,positive,cung_cap_tai_lieu
2828,Je recommande à toute personne intéressée par ce domaine.,positive,de_xuat
2829,La séance d'introduction était très répétitive.,negative,ky_nang_giang_day
2830,Cela a ouvert une perspective complètement différente de l’apprentissage et de l’enseignement de l’anglais. . .,positive,noi_chung
2831,J'ai également pensé que les instructions finales devoir étaient un peu confuses.,negative,bai_tap
2832,C'était un superbe cours.,positive,noi_chung
2833,"Plus important encore, ce cours m'a maintenant donné la confiance que je peux apprendre n'importe quoi avec une attitude d'apprentissage même si je n'ai aucun talent / intérêt pour cela.",positive,chuong_trinh_hoc
2834,"J'ai signalé tous ces problèmes et je n'ai jamais reçu une seule réponse, peut-être parce que je ne suis pas un client payant.",negative,hanh_vi
2835,Tous ceux qui auront suivi ce cours cours bénéficieront d'avantages à vie.,positive,noi_chung
2836,C'est une excellente introduction à une approche plus formelle des algorithmes et j'attends avec impatience le reste des cours de la spécialisation.,positive,noi_chung
2836,C'est une excellente introduction à une approche plus formelle des algorithmes et j'attends avec impatience le reste des cours de la spécialisation.,positive,chuong_trinh_hoc
2837,J'attends avec impatience le prochain épisode de ce cours cours.,positive,noi_chung
2838,Je recommanderai certainement ce cours à mes amis et à ma famille.,positive,de_xuat
2839,Il s'agit simplement d'un cours de démarrage cours qui vous permet de vous familiariser avec les bases du ML à l'aide de Python.,negative,chuong_trinh_hoc
2840,Ma seule critique concerne la manière dont les commentaires et les critiques sont organisés.,negative,hanh_vi
2841,Les résultats seront très utiles.,positive,ham_diem
2842,Je suis très content du cours  et j'aimerais avoir un Apprendre à parler coréen 2 !,positive,noi_chung
2843,C'est un cours très bien structuré et efficace.,positive,chuong_trinh_hoc
2844,"A part ça, super cours, super professeur et super contenu !",positive,cung_cap_tai_lieu
2844,"A part ça, super cours, super professeur et super contenu !",positive,ky_nang_giang_day
2844,"A part ça, super cours, super professeur et super contenu !",positive,noi_chung
2845,"C'était un cours très intéressant , cependant il était orienté vers l'histoire espagnole avec les inclusions.",positive,noi_chung
2846,"J'aime généralement que les cours soient axés sur le côté scientifique, mais ce cours était bien présenté pour les personnes de niveau intermédiaire ou les personnes qui n'ont pas de formation scientifique.",positive,ky_nang_giang_day
2848,C'est un bon cours et les contenus sont très utiles.,positive,noi_chung
2848,C'est un bon cours et les contenus sont très utiles.,positive,cung_cap_tai_lieu
2849,C'était un défi d'une certaine manière et TRÈS intéressant.,positive,noi_chung
2849,C'était un défi d'une certaine manière et TRÈS intéressant.,positive,chuong_trinh_hoc
2850,"Excellent cours magistraux, déçu par la difficulté des devoirs.",positive,ky_nang_giang_day
2850,"Excellent cours magistraux, déçu par la difficulté des devoirs.",positive,bai_tap
2851,Ce cours m'inspire beaucoup.,positive,noi_chung
2852,"La manière dont le sujet est abordé est assez claire et directe, et il est facile à comprendre.",positive,chuong_trinh_hoc
2853,"En général, le cours est très instructif, riche, basé sur des instructions et propose de très bons exercices couvrant tout le contenu du cours avec une bonne expérience pratique de départ.",positive,chuong_trinh_hoc
2853,"En général, le cours est très instructif, riche, basé sur des instructions et propose de très bons exercices couvrant tout le contenu du cours avec une bonne expérience pratique de départ.",positive,bai_tap
2853,"En général, le cours est très instructif, riche, basé sur des instructions et propose de très bons exercices couvrant tout le contenu du cours avec une bonne expérience pratique de départ.",positive,ky_nang_giang_day
2853,"En général, le cours est très instructif, riche, basé sur des instructions et propose de très bons exercices couvrant tout le contenu du cours avec une bonne expérience pratique de départ.",positive,noi_chung
2854,"Je recommanderais ce cours, mais j'espère que les administrateurs du cours  tiendront compte de ce commentaire et clarifieront les devoirs à l'avenir.",positive,de_xuat
2855,"Si vous interprétez la littérature des domaines psychologique ou médical, c'est une excellente ressource.",positive,noi_chung
2856,Je me suis beaucoup amusé et j'ai appris beaucoup d'informations.,positive,chuong_trinh_hoc
2856,Je me suis beaucoup amusé et j'ai appris beaucoup d'informations.,positive,noi_chung
2857,Il s'agit d'un cours idéal cours pour une personne qui envisage d'utiliser Google Cloud Platform mais qui n'est pas sûre de ses avantages et de ses capacités.,positive,noi_chung
