id,text,sentiment,aspect
4116,Niliipenda!,positive,food general
4962,我们尝试过其他粉末，这对我们来说无疑是最好的。,positive,food general
4963,三天后，它看起来仍然像刚煮熟的一样。,positive,food general
4964,这个品牌和口味是迄今为止最好的。,positive,food quality
4965,在剧烈活动期间，我喜欢它在比赛前安放在我胃里的感觉，以及它给我带来的能量。,positive,food general
4966,我有时会这样做，看看能持续多久，但移动它可以立即解决任何“烧灼”或任何其他问题，并且在嘴里蔓延非常愉快。,positive,food general
4967,我们家有新产品。,positive,food general
4968,这是我迄今为止最喜欢的食物之一，也是我对巴西的难忘记忆。,positive,food general
4969,我们喜欢这种茶冰镇的、美味的甘草味道。,positive,food general
4969,我们喜欢这种茶冰镇的、美味的甘草味道。,positive,food quality
4970,这简直是极好的，对于任何需要浓郁杏仁味道的食谱来说，都是绝对的天堂味。,positive,food general
4970,这简直是极好的，对于任何需要浓郁杏仁味道的食谱来说，都是绝对的天堂味。,positive,food quality
4971,简直就是天堂般的感觉。,positive,food general
4972,这款咖啡煮出的咖啡口感中度烘焙，带有异国情调的花香和浆果香味。,positive,food quality
4973,非常好 ！,positive,food general
4974,它又咸又脆，味道鲜美。,positive,food quality
4975,强烈推荐！,positive,food recommendation
4976,我的狗特别喜欢这些棍子！,positive,food quality
4977,我喜欢大盒装的Silk Very Vanilla 豆奶，当我在浏览亚马逊时，看到这些 8 盎司的独立包装时，我非常开心,positive,food general
4978,我写道亚马逊，他们确实立即给我退款，所以他们的客户服务非常好。从那时起我们又打开了一些袋子，它们看起来并不那么不新鲜，但我仍然不相信它们的味道像杂货店里的一样新鲜。,positive,food general
4978,我写道亚马逊，他们确实立即给我退款，所以他们的客户服务非常好。从那时起我们又打开了一些袋子，它们看起来并不那么不新鲜，但我仍然不相信它们的味道像杂货店里的一样新鲜。,positive,food quality
4979,甚至可能比普通的椒盐脆饼还要好一点。,positive,food general
4980,到目前为止，这是我最喜欢的混合干果。,positive,food general
4981,很棒产品。,positive,food general
4982,我每天都以一杯热巧克力开始新的一天。,positive,food general
4983,他们三个都很喜欢这种食物，它对他们来说很有营养，而且不含任何动物副产品。,positive,food general
4983,他们三个都很喜欢这种食物，它对他们来说很有营养，而且不含任何动物副产品。,positive,food quality
4984,太可怕了。,negative,food general
4985,咖啡 不错，只是没有我期待的味道。,positive,food general
4985,咖啡 不错，只是没有我期待的味道。,neutral,food quality
4986,我喜欢水的感觉，不喜欢油的粘稠感。,positive,food quality
4987,它们集两种口味于一身，而且保存时间长，风味十足！,positive,food quality
4988,但我从来没有接近那么多，因为我通常在 20 左右就能解决问题。,positive,food general
4989,其他 口味 也 同样 美味 ! ),positive,food quality
4990,它的甜度令人愉悦，但不会过于甜腻。,positive,food quality
4991,它也是一种非常适合肉类的调味盐！,positive,food general
4992,我按平常的方式煮了咖啡，但是咖啡不够浓。,positive,food general
4993,我一直不太喜欢Keurig 咖啡，因为这种咖啡的口感比较淡。”,negative,food quality
4994,通常的假设是 A 级比 B 级好，但是与鸡蛋或肉类不同的是，糖浆的等级指的是收获的时间，B 级的味道更浓郁。,positive,food quality
4995,它们很快就完好无损地送到了，我真的很喜欢它们的每一口！,positive,food general
4996,我确信这更像是 75 ％ 的梨和少量的蔬菜，但总比没有好。,positive,food quality
4997,我很喜欢条状的柔软和耐嚼的味道。,positive,food general
4997,我很喜欢条状的柔软和耐嚼的味道。,positive,food style_options
4998,我不知道如何将其与其他品牌的价格进行比较，因为它在我所在的州没有出售。,neutral,food prices
4999,好咖啡并且它是一种公平贸易产品，因此您可以在吸入香气和复杂而简单的味道时感到格外棒，同时知道您已经以自己的小方式帮助了地球和地球上的人民。,positive,food quality
4999,好咖啡并且它是一种公平贸易产品，因此您可以在吸入香气和复杂而简单的味道时感到格外棒，同时知道您已经以自己的小方式帮助了地球和地球上的人民。,positive,food general
5000,这茶味道极香浓！,positive,food quality
5001,我一点也不喜欢这个咖啡。,negative,food general
5002,我对其味道感到失望，自己通过在绿茶中添加一滴茴香糖调味料来制作更好的茶。,negative,food quality
5003,我不确定如果没有乳糖，培养物是否会生长，但据说会。,positive,food general
5004,它能泡出一杯醇香的咖啡，没有任何苦涩的余味。,positive,food quality
5005,我确实喜欢重复使用而不是浪费，从这个角度来看，My - Kap产品是一款价格低廉的好产品。,positive,food general
5005,我确实喜欢重复使用而不是浪费，从这个角度来看，My - Kap产品是一款价格低廉的好产品。,positive,food prices
5006,如果可以的话就尽量避免，但不要完全浪费。,negative,food recommendation
5006,如果可以的话就尽量避免，但不要完全浪费。,neutral,food general
5007,它运行完美。,positive,food quality
5008,我的猫喜欢Fancy Feast 猫粮。,positive,food general
5009,这个包比我想象的要小，但这可能只是因为我的估计能力不好。,negative,food style_options
5010,在 Bob’s Red Mill 生产的所有其他热麦片中，这是我最喜欢的。,positive,food general
