id,text,sentiment,aspect
1969,repetitivo. largo. demasiado académico. términos innecesarios.,negative,bai_tap
1969,repetitivo. largo. demasiado académico. términos innecesarios.,negative,bai_tap
2054,Fascinante clase !,positive,noi_chung
2071,Realmente disfruté esto curso.,positive,noi_chung
2187,¡Bonito curso!,positive,noi_chung
2219,"Muy práctico, interesante e inspirador, excelentes consejos.",positive,ky_nang_giang_day
2219,"Muy práctico, interesante e inspirador, excelentes consejos.",positive,noi_chung
2347,Disfruté muchísimo este curso curso.,positive,noi_chung
2376,Lo tomé :) Recomendado .,positive,de_xuat
2421,Todo está claramente explicado.,positive,chuong_trinh_hoc
2425,Conciso e informativo.,positive,chuong_trinh_hoc
2499,Pero no estoy seguro de que sea demasiado fácil o no.,neutral,chuong_trinh_hoc
2606,Tomé este curso curso dos veces.,positive,noi_chung
2620,Realmente útil .,positive,noi_chung
2635,Realmente maravilloso .,positive,noi_chung
2645,Definitivamente volveré a hacer referencia a esto.,positive,noi_chung
2692,Realmente disfruté esto curso.,positive,noi_chung
2750,Recomendado para todos.,positive,de_xuat
3170,J'ai adoré ça cours.,positive,noi_chung
3265,J'adore ça Cours !,positive,noi_chung
3735,J'ai adoré ça cours.,positive,noi_chung
3764,Jako jako dosadno.,negative,noi_chung
3765,Vrlo dobro.,positive,noi_chung
3813,"Ele forneceu excelentes ""conselhos leigos"" com pouca ou nenhuma base de pesquisa.",negative,ky_nang_giang_day
3814,Obrigado a todos os autores por um material tão maravilhoso.,positive,cung_cap_tai_lieu
3815,Recomendo a todos que se interessem por essa área.,positive,de_xuat
3816,A sessão de introdução foi muito repetitiva.,negative,ky_nang_giang_day
3817,Isso abriu uma perspectiva totalmente diferente de aprender e ensinar inglês...,positive,noi_chung
3818,Também achei que as instruções finais tarefa eram um pouco confusas.,negative,bai_tap
3819,Este foi um curso excelente.,positive,noi_chung
3820,"Mais importante, este curso agora me deu a confiança de que posso aprender qualquer coisa com uma atitude de aprendizado, mesmo que eu não tenha talento/interesse para isso.",positive,chuong_trinh_hoc
3821,"Eu relatei tudo isso e nunca obtive nenhuma resposta, talvez porque eu não seja um cliente pagante.",negative,hanh_vi
3822,Todos que concluírem este curso receberão benefícios vitalícios.,positive,noi_chung
3823,Esta é uma ótima introdução a uma abordagem mais formal aos algoritmos e estou ansioso pelos demais cursos da especialização.,positive,noi_chung
3823,Esta é uma ótima introdução a uma abordagem mais formal aos algoritmos e estou ansioso pelos demais cursos da especialização.,positive,chuong_trinh_hoc
3824,Ansioso pela próxima parte deste curso.,positive,noi_chung
3825,Eu definitivamente recomendarei este curso para meus amigos e familiares.,positive,de_xuat
3826,Este é apenas um curso inicial curso que o familiariza com os conceitos básicos de ML usando Python.,negative,chuong_trinh_hoc
3827,Minha única crítica foi a maneira como o feedback e a crítica foram elaborados.,negative,hanh_vi
3828,Os resultados serão muito úteis.,positive,ham_diem
3829,Estou muito feliz com o curso e gostaria de ter um Aprenda a Falar Coreano 2!,positive,noi_chung
3830,É um curso muito bem estruturado e eficaz curso.,positive,chuong_trinh_hoc
3831,"Fora isso, ótimo curso, ótimo professor e ótimo conteúdo!",positive,cung_cap_tai_lieu
3831,"Fora isso, ótimo curso, ótimo professor e ótimo conteúdo!",positive,ky_nang_giang_day
3831,"Fora isso, ótimo curso, ótimo professor e ótimo conteúdo!",positive,noi_chung
3832,"Foi um curso muito interessante, porém, com inclusões, ele foi tendencioso em relação à história espanhola.",positive,noi_chung
3833,"Normalmente, gosto de cursos com muita ênfase em ciências, mas esta aula foi bem apresentada para pessoas de nível intermediário ou que não têm formação científica.",positive,ky_nang_giang_day
3835,É um bom curso e os conteúdos são muito úteis.,positive,noi_chung
3835,É um bom curso e os conteúdos são muito úteis.,positive,cung_cap_tai_lieu
3836,Foi desafiador de certa forma e MUITO interessante.,positive,noi_chung
3836,Foi desafiador de certa forma e MUITO interessante.,positive,chuong_trinh_hoc
3837,"Excelente aulas, decepcionante pela dificuldade das tarefas.",positive,ky_nang_giang_day
3837,"Excelente aulas, decepcionante pela dificuldade das tarefas.",positive,bai_tap
3838,Este curso me inspira muito.,positive,noi_chung
3839,"A forma como o tema é abordado é bastante clara e direta, sendo de fácil compreensão.",positive,chuong_trinh_hoc
3840,"Em geral, o curso é muito informativo, rico, baseado em instruções e tem exercícios muito bons que abrangem todo o conteúdo do curso com uma boa experiência prática inicial.",positive,chuong_trinh_hoc
3840,"Em geral, o curso é muito informativo, rico, baseado em instruções e tem exercícios muito bons que abrangem todo o conteúdo do curso com uma boa experiência prática inicial.",positive,bai_tap
3840,"Em geral, o curso é muito informativo, rico, baseado em instruções e tem exercícios muito bons que abrangem todo o conteúdo do curso com uma boa experiência prática inicial.",positive,ky_nang_giang_day
3840,"Em geral, o curso é muito informativo, rico, baseado em instruções e tem exercícios muito bons que abrangem todo o conteúdo do curso com uma boa experiência prática inicial.",positive,noi_chung
3841,"Eu recomendaria este curso, mas espero que os administradores do curso aproveitem esse feedback e tornem as tarefas mais claras no futuro.",positive,de_xuat
3842,"Se você interpreta literatura dos campos psicológico ou médico, este é um ótimo recurso.",positive,noi_chung
3843,Eu me diverti muito e aprendi muitas informações.,positive,chuong_trinh_hoc
3843,Eu me diverti muito e aprendi muitas informações.,positive,noi_chung
3844,"Este é um curso ideal curso para uma pessoa que está pensando em usar o Google Cloud Platform, mas não tem certeza de quais são as vantagens e recursos.",positive,noi_chung
3845,Recomendo fortemente também a revisão de álgebra linear.,positive,de_xuat
3846,Ajudou-me a ir do conhecimento técnico zero sobre aprendizado de máquina até o ponto em que me sinto confortável para implementar e consigo pensar nessas implementações.,positive,noi_chung
3847,Isso foi uma perda de tempo.,negative,chuong_trinh_hoc
3848,Eu gosto muito deste curso.,positive,noi_chung
3849,Trabalho de curso foi bem fácil.,positive,bai_tap
